ward_code,ward_name,total_population,population_under5,travel_time_to_adequate_min,nearest_adequate_facility_id,travel_time_to_any_facility_min,nearest_any_facility_id,gap_type
W0026,Adenutu,28518,4669,77.9,HF00219,77.9,HF00219,facility_absent
W0007,Enunasa,27475,4581,77.6,HF00011,69.5,HF00010,facility_absent
W0057,Bantsiri,24269,3710,77.5,HF00185,77.5,HF00185,facility_absent
W0053,Uzobele,10511,1676,77.4,HF00034,77.4,HF00034,facility_absent
W0149,Katbeba,22749,4201,77.1,HF00446,55.7,HF00450,facility_present_understaffed
W0405,Irongoko,31968,5288,77.0,HF00953,77.0,HF00953,facility_absent
W0609,Daiwana,72270,13328,76.8,HF01000,46.5,HF01039,facility_present_understaffed
W0585,Dutdeyi,28158,4310,76.8,HF01311,76.8,HF01311,facility_absent
W0495,Shaketa,27884,4569,76.5,HF01085,76.5,HF01085,facility_absent
W0373,Ngeluli,16604,2928,76.4,HF01103,76.4,HF01103,facility_absent
W0105,Uzoriyi,23926,4111,76.1,HF00354,48.7,HF00396,facility_present_understaffed
W0487,Tamnuma,11546,1816,75.6,HF00945,71.7,HF00967,facility_absent
W0295,Dainani,44974,6717,75.4,HF00325,75.4,HF00325,facility_absent
W0017,Kadyodu,29162,4895,75.4,HF00181,75.4,HF00181,facility_absent
W0406,Hansasa,28696,4775,75.3,HF01092,58.5,HF01097,facility_present_understaffed
W0006,Maltsisa,57154,9109,75.2,HF00011,67.1,HF00010,facility_absent
W0150,Wurshama,32530,4857,75.1,HF00139,59.0,HF00090,facility_present_understaffed
W0598,Shalule,70444,11428,74.9,HF01035,67.1,HF01032,facility_absent
W0032,Nasnuri,39662,6367,74.5,HF00029,44.1,HF00055,facility_present_understaffed
W0117,Eketsino,13476,2477,74.4,HF00139,58.3,HF00090,facility_present_understaffed
W0275,Tivlawa,15316,2809,74.3,HF00262,67.8,HF00252,facility_absent
W0407,Yelnuba,22891,3582,74.2,HF00542,74.2,HF00542,facility_absent
W0581,Daibefa,80085,13145,74.2,HF01035,66.4,HF01032,facility_absent
W0306,Kukmiyi,17600,3229,74.1,HF00876,53.7,HF00875,facility_present_understaffed
W0459,Dutzali,12519,2043,74.0,HF00960,74.0,HF00960,facility_absent
W0225,Sokshayi,280263,41460,73.9,HF00311,68.7,HF00291,facility_absent
W0346,Yobnuma,5421,799,73.7,HF00642,47.4,HF00643,facility_present_understaffed
W0439,Daideli,18937,2996,73.5,HF00816,67.0,HF00815,facility_absent
W0428,Wurzani,5140,935,73.4,HF00954,41.7,HF01101,facility_present_understaffed
W0379,Birnuta,22064,3415,73.4,HF00526,73.4,HF00526,facility_absent
W0078,Kadjisa,4483,819,73.1,HF00079,39.5,HF00120,facility_present_understaffed
W0154,Hanluta,26302,3842,72.9,HF00158,41.8,HF00598,facility_present_understaffed
W0091,Yobzade,37811,6364,72.7,HF00621,69.2,HF00628,facility_absent
W0470,Funyofa,9560,1494,72.7,HF00827,36.3,HF00862,facility_present_understaffed
W0290,Dutrama,16813,3036,72.6,HF00695,72.6,HF00695,facility_absent
W0360,Tivtsisa,60520,10296,72.6,HF00933,61.4,HF00925,facility_absent
W0389,Agbwali,63754,9846,72.6,HF01092,55.8,HF01097,facility_present_understaffed
W0157,Zamngono,53970,9176,72.5,HF00302,53.1,HF00301,facility_present_understaffed
W0476,Yobngole,35002,5613,72.5,HF00827,65.8,HF00830,facility_absent
W0466,Sharishi,88072,15548,72.4,HF01222,72.4,HF01222,facility_absent
W0501,Hanlasa,39720,6117,72.4,HF00833,72.4,HF00833,facility_absent
W0265,Josbesa,79003,13541,72.3,HF00292,23.5,HF00321,facility_present_understaffed
W0469,Sokbedu,140881,25427,72.3,HF01205,72.3,HF01205,facility_absent
W0119,Joszayi,72302,11359,72.3,HF00352,64.6,HF00435,facility_absent
W0426,Agbshako,21816,3648,71.7,HF00542,71.7,HF00542,facility_absent
W0432,Adebale,10125,1694,71.6,HF00856,46.4,HF00857,facility_present_understaffed
W0394,Ekengoja,13519,2068,71.6,HF00856,71.6,HF00856,facility_absent
W0617,Ekekode,76328,13712,71.5,HF01002,71.5,HF01002,facility_absent
W0374,Duttsita,15589,2528,71.4,HF00531,52.5,HF00536,facility_present_understaffed
W0463,Baulasa,7935,1180,71.3,HF01248,31.0,HF00963,facility_present_understaffed
W0434,Lokngode,12011,1811,71.2,HF01077,53.8,HF01080,facility_present_understaffed
W0082,Yobkosa,8548,1534,71.1,HF00395,56.6,HF00397,facility_present_understaffed
W0106,Supsani,33198,5916,71.0,HF00622,43.7,HF00199,facility_present_understaffed
W0292,Funrashi,34336,5582,71.0,HF00659,71.0,HF00659,facility_absent
W0261,Uzowana,133916,23796,70.7,HF00262,64.2,HF00252,facility_absent
W0535,Dairami,14424,2502,70.5,HF01142,69.6,HF01138,facility_absent
W0488,Zambaja,21075,3478,70.4,HF01123,70.4,HF01123,facility_absent
W0178,Daijiwa,10786,1957,70.3,HF00437,70.3,HF00437,facility_absent
W0062,Ibarija,32661,5130,70.2,HF00034,70.2,HF00034,facility_absent
W0431,Adekede,7815,1274,70.0,HF00820,70.0,HF00820,facility_absent
W0258,Agbratu,54474,8358,70.0,HF00325,70.0,HF00325,facility_absent
W0092,Gwomali,50260,7901,69.9,HF00239,49.6,HF00238,facility_present_understaffed
W0051,Okederi,67931,10620,69.8,HF00225,42.0,HF00224,facility_present_understaffed
W0612,Tivsana,46849,8493,69.8,HF01000,69.8,HF01000,facility_absent
W0384,Daimako,8679,1375,69.7,HF00667,69.7,HF00667,facility_absent
W0497,Olujisa,94135,14585,69.7,HF01209,40.5,HF01232,facility_present_understaffed
W0457,Zambema,144693,26236,69.7,HF00754,51.2,HF00809,facility_present_understaffed
W0209,Ibatsiba,17038,2981,69.5,HF00470,69.5,HF00470,facility_absent
W0046,Banshali,18654,3357,69.4,HF00363,69.4,HF00363,facility_absent
W0166,Agbkota,16828,2640,69.3,HF00446,47.9,HF00450,facility_present_understaffed
W0592,Tivrana,13446,2101,69.2,HF01196,69.2,HF01196,facility_absent
W0120,Ngemima,41942,6135,69.1,HF00213,65.0,HF00214,facility_absent
W0527,Wurkele,9432,1545,68.9,HF00968,43.1,HF00970,facility_present_understaffed
W0511,Supriyi,15593,2678,68.9,HF00850,68.9,HF00850,facility_absent
W0410,Wurtimi,12659,1986,68.8,HF00856,68.8,HF00856,facility_absent
W0564,Katnawa,11116,1909,68.8,HF01304,65.3,HF01303,facility_absent
W0309,Lokyofa,22795,3929,68.8,HF00893,52.7,HF00895,facility_present_understaffed
W0333,Riylale,45323,7809,68.7,HF00772,63.1,HF00761,facility_absent
W0473,Tivnuta,42259,7641,68.7,HF01077,51.3,HF01080,facility_present_understaffed
W0519,Ekeriri,23060,3814,68.7,HF01142,51.8,HF01143,facility_present_understaffed
W0217,Enurawo,28796,4281,68.6,HF00587,48.1,HF00504,facility_present_understaffed
W0276,Ngewama,8984,1304,68.6,HF00692,48.5,HF00580,facility_present_understaffed
W0080,Ibanana,13629,2377,68.3,HF00207,68.3,HF00207,facility_absent
W0444,Adeketu,53997,9842,68.1,HF01202,59.1,HF00907,facility_present_understaffed
W0482,Banmide,23841,3968,68.0,HF00847,56.9,HF00810,facility_present_understaffed
W0471,Soknutu,9182,1625,68.0,HF01112,61.1,HF01115,facility_absent
W0208,Kukyoba,71525,12802,67.8,HF00437,67.8,HF00437,facility_absent
W0542,Bantsile,17779,3209,67.5,HF01268,67.5,HF01268,facility_absent
W0567,Adenashi,15920,2455,67.4,HF01304,63.9,HF01303,facility_absent
W0074,Mallufa,20101,3609,67.2,HF00359,67.2,HF00359,facility_absent
W0045,Dainali,24443,4143,67.2,HF00185,67.2,HF00185,facility_absent
W0054,Lokngoli,9219,1440,67.0,HF00079,33.9,HF00080,facility_present_understaffed
W0201,Ekekowo,15984,2377,66.8,HF00439,59.7,HF00442,facility_present_understaffed
W0037,Ngeride,20863,3348,66.7,HF00359,66.7,HF00359,facility_absent
W0420,Bantsitu,39333,7085,66.5,HF00868,42.7,HF00865,facility_present_understaffed
W0548,Uzodushi,33925,5842,66.4,HF01268,66.4,HF01268,facility_absent
W0253,Olulusa,8113,1231,66.4,HF00461,66.4,HF00461,facility_absent
W0088,Kadjina,37994,5844,66.3,HF00122,64.7,HF00125,facility_absent
W0517,Banshafa,17151,2506,66.3,HF01085,22.1,HF01127,facility_present_understaffed
W0608,Supdedu,10065,1766,65.9,HF01322,43.9,HF01147,facility_present_understaffed
W0381,Bausako,165631,28205,65.7,HF00774,54.1,HF00748,facility_present_understaffed
W0213,Enuyona,48741,7086,65.6,HF00468,65.6,HF00468,facility_absent
W0536,Iroyori,42824,7385,65.6,HF01142,48.8,HF01143,facility_present_understaffed
W0438,Maldule,89130,13587,65.5,HF00713,63.8,HF00708,facility_absent
W0164,Loknuri,109076,19063,65.3,HF00302,65.3,HF00302,facility_absent
W0372,Sokshano,18801,2800,65.3,HF01103,65.3,HF01103,facility_absent
W0305,Yobbana,7990,1262,64.8,HF00633,43.5,HF00632,facility_present_understaffed
W0532,Gwobeno,54469,9658,64.8,HF01233,43.5,HF01234,facility_present_understaffed
W0193,Gwosani,21803,3614,64.8,HF00549,33.2,HF00100,facility_present_understaffed
W0326,Supbena,64897,9417,64.8,HF00526,64.8,HF00526,facility_absent
W0020,Joswaja,10614,1831,64.6,HF00004,64.6,HF00004,facility_absent
W0240,Daiyole,88866,15662,64.6,HF00273,64.6,HF00273,facility_absent
W0558,Tamsashi,26701,4303,64.5,HF01142,37.5,HF01161,facility_present_understaffed
W0128,Irodefa,196742,32527,64.5,HF00249,64.5,HF00249,facility_absent
W0075,Okewako,14993,2299,64.3,HF00373,27.6,HF00369,facility_present_understaffed
W0171,Olubewo,14745,2499,64.1,HF00132,64.1,HF00132,facility_absent
W0344,Wurzafa,28466,4595,64.0,HF00635,64.0,HF00635,facility_absent
W0183,Daikema,22175,3692,63.8,HF00600,37.0,HF00599,facility_present_understaffed
W0140,Uzosafa,25519,4665,63.8,HF00456,33.3,HF00457,facility_present_understaffed
W0307,Banlama,66320,12156,63.8,HF00782,63.8,HF00782,facility_absent
W0555,Baurima,136403,22122,63.8,HF01072,63.8,HF01072,facility_absent
W0403,Daizayi,46380,7872,63.6,HF01214,59.5,HF01212,facility_present_understaffed
W0108,Shabeli,24409,3931,63.5,HF00345,63.5,HF00345,facility_absent
W0158,Tivzaba,27855,4068,63.5,HF00416,61.0,HF00412,facility_absent
W0123,Kuktsino,13386,2276,63.5,HF00208,63.5,HF00208,facility_absent
W0533,Banluwa,73623,12097,63.3,HF01065,59.3,HF00949,facility_present_understaffed
W0325,Funbayi,25799,3863,63.3,HF00486,62.1,HF00482,facility_absent
W0195,Sokdushi,30349,5243,63.2,HF00563,51.2,HF00556,facility_present_understaffed
W0589,Tivtsiwo,10147,1585,63.1,HF01190,63.1,HF01190,facility_absent
W0578,Irokoni,54612,9034,63.0,HF00994,51.5,HF01022,facility_present_understaffed
W0364,Katbeno,9987,1613,63.0,HF00667,45.9,HF00643,facility_present_understaffed
W0124,Riynushi,30619,4688,62.9,HF00208,62.9,HF00208,facility_absent
W0413,Birtsiba,13492,2156,62.7,HF00954,62.7,HF00954,facility_absent
W0242,Birngoko,31901,5179,62.6,HF00492,62.6,HF00492,facility_absent
W0031,Loklude,11375,1996,62.5,HF00025,62.5,HF00025,facility_absent
W0090,Bannayi,19538,3614,62.5,HF00345,62.5,HF00345,facility_absent
W0362,Ekebewa,15624,2710,62.4,HF00541,62.4,HF00541,facility_absent
W0206,Birtima,32564,5971,62.3,HF00563,50.4,HF00556,facility_present_understaffed
W0181,Baumashi,27793,5029,62.1,HF00101,29.9,HF00090,facility_present_understaffed
W0182,Ekesana,3372,592,62.0,HF00596,62.0,HF00596,facility_absent
W0241,Banluba,12363,1821,62.0,HF00510,32.2,HF00504,facility_present_understaffed
W0370,Agbnana,68830,11728,62.0,HF00774,50.4,HF00748,facility_present_understaffed
W0086,Maltsini,6440,1032,61.8,HF00359,40.5,HF00380,facility_present_understaffed
W0245,Banlumi,17915,3063,61.8,HF00461,48.8,HF00464,facility_present_understaffed
W0069,Katzale,18519,3389,61.7,HF00038,61.7,HF00038,facility_absent
W0184,Riysafa,145691,26731,61.7,HF00295,61.7,HF00295,facility_absent
W0401,Supmita,15361,2531,61.7,HF00531,42.8,HF00536,facility_present_understaffed
W0126,Banmashi,14494,2109,61.6,HF00112,61.6,HF00112,facility_absent
W0052,Aderimi,38344,6850,61.6,HF00038,61.6,HF00038,facility_absent
W0274,Joskodu,18151,2747,61.5,HF00547,34.4,HF00546,facility_present_understaffed
W0122,Yobtiyi,14794,2319,61.5,HF00132,28.4,HF00130,facility_present_understaffed
W0107,Ibabeno,61801,10010,61.4,HF00208,61.4,HF00208,facility_absent
W0100,Umuwata,9017,1520,61.1,HF00352,61.1,HF00352,facility_absent
W0139,Katshale,36171,5457,60.4,HF00158,58.5,HF00161,facility_present_understaffed
W0584,Shangodu,15050,2231,60.4,HF01190,50.7,HF01170,facility_present_understaffed
W0512,Okezari,4392,666,60.3,HF01065,56.3,HF00949,facility_present_understaffed
W0435,Katlale,23654,3543,60.3,HF01202,51.3,HF00907,facility_present_understaffed
W0409,Zamzani,11084,1939,60.0,HF00868,36.2,HF00865,adequately_served
W0077,Hanbena,31884,5339,60.0,HF00173,56.8,HF00205,adequately_served
W0188,Wurnuri,14815,2666,60.0,HF00441,60.0,HF00441,adequately_served
W0348,Kukmatu,24631,4308,59.8,HF00489,59.8,HF00489,adequately_served
W0369,Tivyoyi,12654,2072,59.7,HF00722,59.7,HF00722,adequately_served
W0200,Jostiko,5416,870,59.6,HF00561,59.6,HF00561,adequately_served
W0303,Daidushi,50472,8119,59.4,HF00332,59.4,HF00332,adequately_served
W0390,Ibayoma,69599,11796,59.3,HF01214,55.2,HF01212,adequately_served
W0304,Nasbayi,12467,2031,59.3,HF00524,59.3,HF00524,adequately_served
