facility_id,facility_type,longitude_clean,latitude_clean,geom,med_officers,nurses_midwives,chews,lab_scientists,pharm_techs,adequacy_status
HF01155,Primary Health Centre,9.908889,9.521433,"\x01\x01\x00\x00\x00gc%\xE6Y\xD1#@?\x1C$D\xF9\x0A#@",0.0,2.0,3.0,1.0,0.0,adequate
HF00454,Cottage Hospital,7.583417,8.784474,\x01\x01\x00\x00\x00\xC3\xB8\x1BDkU\x1E@\xE6\x1F}\x93\xA6\x91!@,5.0,3.0,8.0,0.0,4.0,inadequate
HF00804,Cottage Hospital,10.187914,8.448977,\x01\x01\x00\x00\x00\xCC\xEB\x88C6`$@\xF8O7P\xE0\xE5 @,0.0,0.0,5.0,3.0,0.0,inadequate
HF00516,Primary Health Centre,8.216741,9.757699,"\x01\x01\x00\x00\x00\x99g%\xAD\xF8n @\x7Fl\x92\x1F\xF1\x83#@",0.0,2.0,4.0,1.0,0.0,adequate
HF00589,Health Post,7.947185,10.823491,\x01\x01\x00\x00\x00\x0B\x0CY\xDD\xEA\xC9\x1F@\xC6\x19\xC3\x9C\xA0\xA5%@,0.0,3.0,1.0,1.0,0.0,inadequate
HF00058,Comprehensive Health Centre,6.197444,10.015032,\x01\x01\x00\x00\x00k*\x8B\xC2.\xCA\x18@u\xC98F\xB2\x07$@,5.0,4.0,6.0,2.0,3.0,adequate
HF01154,Health Post,9.89696,9.515498,"\x01\x01\x00\x00\x00\xEC\xA3SW>\xCB#@\x8BN\x96Z\xEF\x07#@",0.0,0.0,1.0,0.0,0.0,inadequate
HF00167,Primary Health Centre,7.411483,9.912909,"\x01\x01\x00\x00\x00\x9Bp\xAF\xCC[\xA5\x1D@\xB9r\xF6\xCEh\xD3#@",1.0,1.0,3.0,1.0,1.0,inadequate
HF00926,Primary Health Centre,8.501021,8.659091,\x01\x01\x00\x00\x00\xEB7\x13\xD3\x85\x00!@\x06-$`tQ!@,2.0,0.0,5.0,1.0,1.0,inadequate
HF00604,Cottage Hospital,7.371901,10.666623,\x01\x01\x00\x00\x00\x17f\xA1\x9D\xD3|\x1D@\xD7\x85\x1F\x9COU%@,0.0,7.0,9.0,2.0,7.0,inadequate
HF00285,Primary Health Centre,7.768586,7.92846,\x01\x01\x00\x00\x00a\xA7X5\x08\x13\x1F@\x9F\x93\xDE7\xBE\xB6\x1F@,0.0,2.0,5.0,1.0,0.0,adequate
HF00637,Health Post,8.683102,11.313295,\x01\x01\x00\x00\x00\x15\xAA\x9B\x8B\xBF]!@*\x00\xC63h\xA0&@,0.0,1.0,1.0,1.0,0.0,inadequate
HF01021,Primary Health Centre,10.252351,11.264894,\x01\x01\x00\x00\x00\xCE9x&4\x81$@1\xD0\xB5/\xA0\x87&@,,,,,,no_personnel_record
HF01182,Health Post,9.643656,9.264295,"\x01\x01\x00\x00\x00\x94\xBF{G\x8DI#@\x1E\xFE\x9A\xACQ\x87\x22@",0.0,0.0,1.0,0.0,0.0,inadequate
HF00325,Health Post,8.059011,7.773748,\x01\x01\x00\x00\x00a5\x96\xB06\x1E @\xB3aMeQ\x18\x1F@,0.0,1.0,2.0,0.0,0.0,adequate
HF00110,Cottage Hospital,6.969075,9.906772,"\x01\x01\x00\x00\x00\x1C|a2U\xE0\x1B@f\xDBikD\xD0#@",3.0,10.0,6.0,0.0,0.0,inadequate
HF01031,Primary Health Centre,10.480188,10.41212,\x01\x01\x00\x00\x00\x01\xDD\x973\xDB\xF5$@\x17\x0E\x84d\x01\xD3$@,1.0,6.0,8.0,0.0,3.0,adequate
HF00132,Primary Health Centre,7.162416,9.831472,"\x01\x01\x00\x00\x00xcAaP\xA6\x1C@U\x14\xAF\xB2\xB6\xA9#@",1.0,4.0,5.0,2.0,1.0,adequate
HF00618,Health Post,7.536192,10.55022,\x01\x01\x00\x00\x00\xE0\x81\x01\x84\x0F%\x1E@\xD25\x93o\xB6\x19%@,0.0,1.0,2.0,0.0,0.0,adequate
HF00816,Comprehensive Health Centre,9.012789,8.199683,\x01\x01\x00\x00\x00A\x7F\xA1G\x8C\x06\x22@d\x22\xA5\xD9<f @,2.0,8.0,10.0,4.0,0.0,adequate
HF00040,Health Post,6.511429,9.595088,"\x01\x01\x00\x00\x00h\xE74\x0B\xB4\x0B\x1A@\xEE{\xD4_\xAF0#@",0.0,1.0,2.0,0.0,0.0,adequate
HF00760,Primary Health Centre,8.416999,7.909065,\x01\x01\x00\x00\x00\xEE\xED\x96\xE4\x80\xD5 @\xC2\xC0s\xEF\xE1\xA2\x1F@,0.0,0.0,4.0,2.0,0.0,inadequate
HF01239,General Hospital,9.834394,9.623763,"\x01\x01\x00\x00\x00\x0E\xF5\xBB\xB05\xAB#@\xE2\xE8*\xDD]?#@",4.0,29.0,25.0,0.0,4.0,inadequate
HF00060,Cottage Hospital,6.192201,9.933669,"\x01\x01\x00\x00\x00\xB3\x08\xC5V\xD0\xC4\x18@\xFB\x93\xF8\xDC\x09\xDE#@",4.0,8.0,4.0,1.0,7.0,adequate
HF00377,Primary Health Centre,6.944508,7.725776,\x01\x01\x00\x00\x00\xD1=\xEB\x1A-\xC7\x1B@\x04\xE3\xE0\xD21\xE7\x1E@,0.0,2.0,1.0,2.0,0.0,inadequate
HF00792,Primary Health Centre,8.85898,7.509353,\x01\x01\x00\x00\x00\x0F\xD6\xFF9\xCC\xB7!@[z4\xD5\x93\x09\x1E@,0.0,0.0,5.0,0.0,0.0,inadequate
HF00954,Primary Health Centre,9.066455,10.724456,\x01\x01\x00\x00\x00\xB5O\xC7c\x06\x22\x22@.\xC8\x96\xE5\xEBr%@,0.0,2.0,3.0,1.0,1.0,adequate
HF00412,Primary Health Centre,7.093594,8.373692,\x01\x01\x00\x00\x00Eh\x04\x1B\xD7_\x1C@\xBD\x8D\xCD\x8ET\xBF @,1.0,5.0,2.0,0.0,1.0,inadequate
HF00878,Health Post,8.447777,8.411938,\x01\x01\x00\x00\x00O\xCD\xE5\x06C\xE5 @\x94\xF5\x9B\x89\xE9\xD2 @,0.0,1.0,0.0,0.0,1.0,inadequate
HF01007,Health Post,10.260593,11.483907,\x01\x01\x00\x00\x00\x10\x22\x19rl\x85$@g\x9C\x86\xA8\xC2\xF7&@,0.0,1.0,0.0,0.0,0.0,inadequate
HF00612,Comprehensive Health Centre,7.513699,10.715796,\x01\x01\x00\x00\x00\x9D\xF3S\x1C\x07\x0E\x1E@\x1975\xD0|n%@,2.0,7.0,6.0,0.0,2.0,inadequate
HF00593,Health Post,7.939329,10.562777,\x01\x01\x00\x00\x00\xCF\xBC\x1Cv\xDF\xC1\x1F@\xCA\xE1\x93N$ %@,1.0,1.0,1.0,1.0,0.0,inadequate
HF00327,Health Post,8.047543,7.748601,\x01\x01\x00\x00\x00\xB5N\x5C\x8EW\x18 @\xF7\x02\xB3B\x91\xFE\x1E@,0.0,2.0,1.0,0.0,0.0,inadequate
HF00474,Primary Health Centre,7.666383,9.058666,\x01\x01\x00\x00\x00\x04q\x1EN`\xAA\x1E@7\xC6Nx\x09\x1E\x22@,1.0,0.0,6.0,0.0,1.0,inadequate
HF00171,Primary Health Centre,6.793008,9.99931,"\x01\x01\x00\x00\x00\x90\xDD\x05J\x0A,\x1B@\xAB!q\x8F\xA5\xFF#@",0.0,13.0,5.0,0.0,1.0,adequate
HF00272,Health Post,7.495428,7.999495,\x01\x01\x00\x00\x00<\x17FzQ\xFB\x1D@\xE4\x0F\x06\x9E{\xFF\x1F@,0.0,2.0,1.0,0.0,0.0,inadequate
HF00353,Primary Health Centre,6.791232,8.635882,\x01\x01\x00\x00\x00\xD71\xAE\xB88*\x1B@\xEB:TS\x92E!@,1.0,0.0,8.0,1.0,0.0,inadequate
HF00603,Primary Health Centre,7.444372,10.65135,\x01\x01\x00\x00\x00O\x08\x1Dt\x09\xC7\x1D@\xCC\x7FH\xBF}M%@,1.0,1.0,5.0,1.0,2.0,inadequate
HF00146,Health Post,7.220868,10.195936,\x01\x01\x00\x00\x00\x85\xEE\x928+\xE2\x1C@\xD670\xB9Qd$@,1.0,1.0,0.0,1.0,0.0,inadequate
HF01189,Primary Health Centre,9.889611,8.750201,"\x01\x01\x00\x00\x00\xDFR\xCE\x17{\xC7#@^\xDApX\x1A\x80!@",1.0,1.0,3.0,0.0,0.0,inadequate
HF00872,Health Post,8.11253,8.376772,\x01\x01\x00\x00\x00D\xA3;\x88\x9D9 @\xD7\x18tB\xE8\xC0 @,0.0,0.0,2.0,1.0,0.0,adequate
HF00590,Primary Health Centre,7.910697,10.762373,\x01\x01\x00\x00\x00\xE1B\x1E\xC1\x8D\xA4\x1F@\xF2\xB4\xFC\xC0U\x86%@,1.0,5.0,7.0,0.0,1.0,adequate
HF01233,Primary Health Centre,9.707219,9.752334,"\x01\x01\x00\x00\x00;8\xD8\x9B\x18j#@uV\x0B\xEC1\x81#@",0.0,5.0,6.0,1.0,1.0,adequate
HF01184,Primary Health Centre,9.648737,9.487315,"\x01\x01\x00\x00\x00\x0Ai\x8DA\x27L#@S\xB3\x07Z\x81\xF9\x22@",0.0,2.0,2.0,0.0,1.0,inadequate
HF00696,Primary Health Centre,8.457193,11.509368,\x01\x01\x00\x00\x00\x96\xEBm3\x15\xEA @\x03B\xEB\xE1\xCB\x04\x27@,0.0,7.0,4.0,2.0,1.0,adequate
HF00078,Health Post,6.600693,9.210301,\x01\x01\x00\x00\x00\x98\xBE\xD7\x10\x1Cg\x1A@\xD7\xA1\x9A\x92\xACk\x22@,,,,,,no_personnel_record
HF00430,Comprehensive Health Centre,7.978672,8.463104,\x01\x01\x00\x00\x00-\x0B&\xFE(\xEA\x1F@\x27K\xAD\xF7\x1B\xED @,0.0,0.0,10.0,3.0,0.0,inadequate
HF00232,Health Post,6.669143,10.501108,\x01\x01\x00\x00\x00\xAAc\x95\xD23\xAD\x1A@\x27\x87O:\x91\x00%@,0.0,0.0,1.0,1.0,1.0,inadequate
HF00280,Primary Health Centre,7.661241,8.044617,\x01\x01\x00\x00\x00\xEC\x18W\x5C\x1C\xA5\x1E@\xF7\xB0\x17\x0A\xD8\x16 @,1.0,4.0,5.0,0.0,2.0,adequate
HF00607,Primary Health Centre,7.489896,10.816027,\x01\x01\x00\x00\x00\xCE\xC3\x09L\xA7\xF5\x1D@UN{J\xCE\xA1%@,,,,,,no_personnel_record
HF00992,Primary Health Centre,10.124003,11.206534,\x01\x01\x00\x00\x0076;R}?$@-\x06\x0F\xD3\xBEi&@,0.0,1.0,3.0,1.0,1.0,inadequate
HF01291,Health Post,10.596473,10.087195,"\x01\x01\x00\x00\x00\xDE\xE4\xB7\xE8d1%@\xDB\xBF\xB2\xD2\xA4,$@",0.0,1.0,1.0,1.0,0.0,inadequate
HF01278,Health Post,9.931932,10.015632,"\x01\x01\x00\x00\x00\x161\xEC0&\xDD#@\xCA\x8A\xE1\xEA\x00\x08$@",1.0,4.0,2.0,0.0,0.0,adequate
HF00881,Primary Health Centre,8.328645,9.375223,\x01\x01\x00\x00\x00\xE3\xFCM(D\xA8 @\xFDi\xA3:\x1D\xC0\x22@,0.0,3.0,7.0,1.0,1.0,adequate
HF00182,Health Post,6.388055,10.269453,\x01\x01\x00\x00\x00v28J^\x8D\x19@A\x9E]\xBE\xF5\x89$@,0.0,3.0,0.0,0.0,0.0,inadequate
HF01115,Health Post,9.269803,11.281354,"\x01\x01\x00\x00\x00\xB2\xB9j\x9E#\x8A\x22@\x942\xA9\xA1\x0D\x90&@",0.0,2.0,1.0,0.0,0.0,inadequate
HF00385,Health Post,6.981476,8.01738,\x01\x01\x00\x00\x00O<g\x0B\x08\xED\x1B@~5\x07\x08\xE6\x08 @,0.0,1.0,2.0,0.0,0.0,adequate
HF01101,Primary Health Centre,9.068453,11.071724,"\x01\x01\x00\x00\x00M\xA0\x88E\x0C#\x22@6\xAD\x14\x02\xB9$&@",2.0,1.0,4.0,1.0,0.0,inadequate
HF01049,Primary Health Centre,9.91726,10.623578,"\x01\x01\x00\x00\x00\xA1\xDBK\x1A\xA3\xD5#@\x9B\x02\x99\x9DE?%@",1.0,8.0,5.0,0.0,2.0,adequate
HF00259,Primary Health Centre,7.846695,7.87948,\x01\x01\x00\x00\x004\xBF\x9A\x03\x04c\x1F@\xBF\xF1\xB5g\x96\x84\x1F@,1.0,1.0,5.0,0.0,1.0,inadequate
HF01078,Health Post,9.41374,11.561336,\x01\x01\x00\x00\x00\x16\x18\xB2\xBA\xD5\xD3\x22@\x8A\x22\xA4ng\x1F\x27@,,,,,,no_personnel_record
HF00247,Health Post,7.477367,7.60339,\x01\x01\x00\x00\x00/\xC2\x14\xE5\xD2\xE8\x1D@\x0B\xEFr\x11\xDFi\x1E@,0.0,0.0,1.0,0.0,1.0,inadequate
HF01179,Comprehensive Health Centre,9.473237,9.069337,"\x01\x01\x00\x00\x00\xA9\x83\xBC\x1EL\xF2\x22@6\xCE\xA6#\x80#\x22@",2.0,0.0,3.0,1.0,1.0,inadequate
HF01289,Cottage Hospital,10.661686,10.066308,\x01\x01\x00\x00\x00.q\xE4\x81\xC8R%@$\xEDF\x1F\xF3!$@,0.0,4.0,28.0,2.0,1.0,inadequate
HF00061,Health Post,5.93974,9.277555,\x01\x01\x00\x00\x00\xDF\xF8\xDA3K\xC2\x17@\xBC\xAE_\xB0\x1B\x8E\x22@,0.0,1.0,3.0,0.0,0.0,adequate
HF00869,Health Post,9.0683,9.029568,"\x01\x01\x00\x00\x004\xA2\xB47\xF8\x22\x22@)\x04r\x89#\x0F\x22@",0.0,2.0,1.0,0.0,0.0,inadequate
HF00858,Health Post,9.230096,8.697439,\x01\x01\x00\x00\x00~\xE1\x95$\xCFu\x22@\xEE\xE8\x7F\xB9\x16e!@,1.0,2.0,1.0,0.0,0.0,inadequate
HF00709,Primary Health Centre,9.087694444444445,7.861888888888888,"\x01\x01\x00\x00\x00\x0C\xDCEI\xE6,\x22@\x14A:\x00\x93r\x1F@",0.0,2.0,6.0,0.0,1.0,adequate
HF00768,Primary Health Centre,8.537452,7.929621,"\x01\x01\x00\x00\x00\xEFV\x96\xE8,\x13!@\x03\xB3B\x91\xEE\xB7\x1F@",2.0,0.0,5.0,0.0,1.0,inadequate
HF00007,Health Post,6.313554,9.211712,\x01\x01\x00\x00\x00\xB4\x1E\xBEL\x14A\x19@mW\xE8\x83el\x22@,1.0,2.0,0.0,0.0,0.0,inadequate
HF00224,Health Post,6.609607,10.159319,\x01\x01\x00\x00\x00\x93\xA6A\xD1<p\x1A@JC\x8DB\x92Q$@,1.0,0.0,0.0,0.0,1.0,inadequate
HF00324,Health Post,7.964362,7.639968,\x01\x01\x00\x00\x00G\x05N\xB6\x81\xDB\x1F@4\xF2y\xC5S\x8F\x1E@,0.0,1.0,2.0,1.0,0.0,adequate
HF00446,General Hospital,7.25048,8.964745,\x01\x01\x00\x00\x00T5A\xD4}\x00\x1D@\x84\xF5\x7F\x0E\xF3\xED!@,6.0,24.0,32.0,7.0,7.0,adequate
HF00223,Primary Health Centre,6.489099,10.40638,\x01\x01\x00\x00\x00u\x06F^\xD6\xF4\x19@9\x7F\x13\x0A\x11\xD0$@,1.0,8.0,4.0,0.0,0.0,adequate
HF00346,Primary Health Centre,6.833786,8.72476,\x01\x01\x00\x00\x00\x5CsG\xFF\xCBU\x1B@\xDE\xE5\x22\xBE\x13s!@,0.0,3.0,6.0,0.0,0.0,adequate
HF01214,Primary Health Centre,8.927396,9.808456,"\x01\x01\x00\x00\x00\xE7\xE1\x04\xA6\xD3\xDA!@\x8C\x82\xE0\xF1\xED\x9D#@",4.0,6.0,3.0,1.0,2.0,adequate
HF00426,Health Post,8.00421,8.651609,\x01\x01\x00\x00\x00\xE0\xA1(\xD0\x27\x02 @\xFC\x8E\xE1\xB1\x9FM!@,0.0,2.0,3.0,1.0,1.0,adequate
HF00338,Health Post,8.176598,7.734437,\x01\x01\x00\x00\x00\xF9\x13\x95\x0DkZ @\xB0\xE3\xBF@\x10\xF0\x1E@,0.0,1.0,2.0,0.0,0.0,adequate
HF01046,Health Post,10.726164,10.437667,\x01\x01\x00\x00\x00\xAA\x10\x8F\xC4\xCBs%@\xAD\x13\x97\xE3\x15\xE0$@,0.0,0.0,2.0,0.0,1.0,adequate
HF01164,Primary Health Centre,10.115462,9.28227,\x01\x01\x00\x00\x00\x8C\xDC\xD3\xD5\x1D;$@\xAAH\x85\xB1\x85\x90\x22@,1.0,4.0,1.0,1.0,0.0,inadequate
HF00434,Health Post,7.083152,8.802791,\x01\x01\x00\x00\x00RcB\xCC%U\x1C@\xD8\x0B\x05l\x07\x9B!@,1.0,1.0,2.0,0.0,0.0,adequate
HF00924,Health Post,,,,0.0,1.0,2.0,0.0,0.0,adequate
HF00149,Primary Health Centre,7.086451,10.05271,\x01\x01\x00\x00\x00t\xD3f\x9C\x86X\x1C@%X\x1C\xCE\xFC\x1A$@,0.0,3.0,1.0,1.0,0.0,inadequate
HF00575,Cottage Hospital,7.646875,11.256142,\x01\x01\x00\x00\x00fffff\x96\x1E@\x9ACR\x0B%\x83&@,,,,,,no_personnel_record
HF00238,Comprehensive Health Centre,7.113152,7.718199,\x01\x01\x00\x00\x00q\xE8-\x1E\xDEs\x1C@b\x14\x04\x8Fo\xDF\x1E@,2.0,7.0,2.0,0.0,0.0,inadequate
HF01001,Comprehensive Health Centre,10.550529,10.988309,\x01\x01\x00\x00\x00\xC9\xFF\xE4\xEF\xDE\x19%@W\xAF\x22\xA3\x03\xFA%@,5.0,16.0,7.0,0.0,3.0,inadequate
HF00089,Primary Health Centre,7.273442,9.610453,"\x01\x01\x00\x00\x00Mi\xFD-\x01\x18\x1D@|}\xADK\x8D8#@",0.0,0.0,5.0,0.0,0.0,inadequate
HF01088,Comprehensive Health Centre,9.494861,11.60626,\x01\x01\x00\x00\x00\xB8!\xC6k^\xFD\x22@\xF5\xBE\xF1\xB5g6\x27@,0.0,0.0,5.0,2.0,0.0,inadequate
HF00936,Comprehensive Health Centre,8.593943,8.710386,\x01\x01\x00\x00\x00R`\x01L\x190!@\x90\x12\xBB\xB6\xB7k!@,0.0,0.0,4.0,1.0,2.0,inadequate
HF00680,Health Post,8.178418,11.053379,\x01\x01\x00\x00\x00\x14\x09\xA6\x9AY[ @\x1C\x96\x06~T\x1B&@,0.0,3.0,2.0,0.0,0.0,adequate
HF00427,Primary Health Centre,7.909573,8.602078,\x01\x01\x00\x00\x00fL\xC1\x1Ag\xA3\x1F@=HO\x91C4!@,0.0,0.0,5.0,1.0,0.0,inadequate
HF00228,Health Post,6.596656,10.287104,\x01\x01\x00\x00\x00E\xD9[\xCA\xF9b\x1A@\x00\x1A\xA5K\xFF\x92$@,0.0,2.0,2.0,0.0,1.0,adequate
HF00314,Primary Health Centre,7.716855,7.619705,\x01\x01\x00\x00\x00u\xE5\xB3<\x0F\xDE\x1E@\xB4\xAB\x90\xF2\x93z\x1E@,,,,,,no_personnel_record
HF00410,Primary Health Centre,6.637405,8.27629,\x01\x01\x00\x00\x00?:u\xE5\xB3\x8C\x1A@vl\x04\xE2u\x8D @,,,,,,no_personnel_record
