ward_code,ward_name,total_population,population_under5,nearest_adequate_facility_id,travel_time_minutes,reachable
W0161,Birwari,11243,1678,HF00158,32.4,true
W0171,Olubewo,14745,2499,HF00132,64.1,true
W0176,Katwama,10539,1828,HF00559,54.5,true
W0052,Aderimi,38344,6850,HF00038,61.6,true
W0061,Agbsatu,10883,1861,HF00172,39.5,true
W0072,Riysano,46190,8511,HF00171,42.4,true
W0098,Lokderi,32820,5693,HF00112,50.7,true
W0115,Yobzasa,27991,4785,HF00176,40.5,true
W0124,Riynushi,30619,4688,HF00208,62.9,true
W0013,Baujina,43228,6799,HF00223,80.4,true
W0035,Baujimi,50218,8617,HF00181,38.0,true
W0044,Supmano,36589,6205,HF00223,82.2,true
W0045,Dainali,24443,4143,HF00185,67.2,true
W0048,Kadbemi,32555,4893,HF00223,30.7,true
W0056,Okedeni,59574,8982,HF00196,44.4,true
W0057,Bantsiri,24269,3710,HF00185,77.5,true
W0058,Tivsawo,22734,3595,HF00196,58.8,true
W0070,Zamkono,18303,2901,HF00196,29.2,true
W0085,Banrana,9338,1516,HF00622,85.8,true
W0097,Kukjimi,19599,3474,HF00622,49.3,true
W0080,Ibanana,13629,2377,HF00207,68.3,true
W0087,Ibabewo,18269,3321,HF00173,96.4,true
W0095,Tamdumi,21185,3572,HF00196,54.2,true
W0107,Ibabeno,61801,10010,HF00208,61.4,true
W0116,Tamdule,16627,2874,HF00207,40.8,true
W0123,Kuktsino,13386,2276,HF00208,63.5,true
W0130,Okenawa,13430,2201,HF00213,41.0,true
W0017,Kadyodu,29162,4895,HF00181,75.4,true
W0026,Adenutu,28518,4669,HF00219,77.9,true
W0027,Irobade,15603,2363,HF00219,29.7,true
W0034,Dutkoshi,21796,3203,HF00227,83.1,true
W0049,Nastili,23744,3918,HF00223,19.9,true
W0051,Okederi,67931,10620,HF00225,69.8,true
W0065,Wurlawo,32751,5053,HF00227,21.7,true
W0068,Hanzami,39282,6477,HF00227,46.9,true
W0077,Hanbena,31884,5339,HF00173,60.0,true
W0081,Umutiri,18226,3180,HF00185,93.5,true
W0128,Irodefa,196742,32527,HF00249,64.5,true
W0134,Zammiwa,133322,22069,HF00239,51.2,true
W0152,Iroketu,47082,7470,HF00242,51.4,true
W0157,Zamngono,53970,9176,HF00302,72.5,true
W0185,Ekezali,60262,9549,HF00249,20.6,true
W0239,Daizaru,45948,7423,HF00281,45.1,true
W0257,Kadbetu,43337,6303,HF00429,90.0,true
W0258,Agbratu,54474,8358,HF00325,70.0,true
W0261,Uzowana,133916,23796,HF00262,70.7,true
W0275,Tivlawa,15316,2809,HF00262,74.3,true
W0280,Gwoyota,48785,8597,HF00265,90.8,true
W0282,Enunayi,98702,17568,HF00265,46.0,true
W0295,Dainani,44974,6717,HF00325,75.4,true
W0189,Katlano,209177,30640,HF00273,19.0,true
W0208,Kukyoba,71525,12802,HF00437,67.8,true
W0212,Wurngowo,115247,16782,HF00280,78.8,true
W0216,Jossafa,95712,17461,HF00280,45.9,true
W0240,Daiyole,88866,15662,HF00273,64.6,true
W0184,Riysafa,145691,26731,HF00295,61.7,true
W0247,Daisale,54735,9229,HF00311,39.5,true
W0249,Suplali,63555,11655,HF00295,57.8,true
W0259,Adejisa,122654,20400,HF00297,26.1,true
W0164,Loknuri,109076,19063,HF00302,65.3,true
W0170,Dutkota,45234,6919,HF00302,34.4,true
W0187,Kuktsini,159257,27738,HF00302,50.0,true
W0197,Tivjija,70065,10763,HF00302,78.9,true
W0191,Riyriru,43656,6349,HF00249,54.3,true
W0214,Gwonade,322123,55173,HF00311,24.3,true
W0225,Sokshayi,280263,41460,HF00311,73.9,true
W0246,Tivbedu,14461,2586,HF00302,99.4,true
W0243,Joskoko,29574,4486,HF00292,127.9,true
W0265,Josbesa,79003,13541,HF00292,72.3,true
W0266,Okeshali,39626,6456,HF00325,48.1,true
W0281,Tamngoba,37386,6750,HF00325,32.7,true
W0283,Ekelusa,31819,5804,HF00332,54.1,true
W0293,Olukoyi,55159,10162,HF00332,78.6,true
W0303,Daidushi,50472,8119,HF00332,59.4,true
W0310,Umubeli,145272,24374,HF00332,82.9,true
W0090,Bannayi,19538,3614,HF00345,62.5,true
W0099,Dutmili,27064,4746,HF00345,27.3,true
W0100,Umuwata,9017,1520,HF00352,61.1,true
W0105,Uzoriyi,23926,4111,HF00354,76.1,true
W0108,Shabeli,24409,3931,HF00345,63.5,true
W0037,Ngeride,20863,3348,HF00359,66.7,true
W0073,Funzako,7985,1360,HF00359,18.8,true
W0074,Mallufa,20101,3609,HF00359,67.2,true
W0082,Yobkosa,8548,1534,HF00395,71.1,true
W0086,Maltsini,6440,1032,HF00359,61.8,true
W0101,Dairimi,23866,3936,HF00395,78.3,true
W0043,Tivlana,49189,8230,HF00363,51.8,true
W0063,Josmasa,12840,2206,HF00373,84.1,true
W0075,Okewako,14993,2299,HF00373,64.3,true
W0076,Sharama,16099,2706,HF00354,97.3,true
W0079,Uzotishi,82183,14985,HF00373,51.3,true
W0092,Gwomali,50260,7901,HF00239,69.9,true
W0093,Sharashi,28647,4314,HF00359,87.8,true
W0102,Soktiri,35762,5287,HF00379,58.5,true
W0114,Baulutu,78092,11587,HF00384,41.5,true
W0103,Kadjino,18151,3167,HF00384,45.8,true
W0135,Birnushi,25287,3918,HF00389,55.8,true
W0136,Oluketa,23296,4163,HF00384,44.6,true
W0155,Fundudu,13983,2234,HF00416,46.1,true
W0156,Kuktidu,14559,2144,HF00388,48.3,true
W0089,Naslayi,12625,1858,HF00398,93.2,true
W0104,Irotsifa,12906,2081,HF00395,56.3,true
W0109,Ekemari,15014,2544,HF00354,87.3,true
W0121,Maldefa,39423,7093,HF00398,80.4,true
W0009,Gwobele,22295,4039,HF00401,139.4,true
W0038,Zammasa,11000,1920,HF00401,85.6,true
W0047,Kuktsija,25296,4603,HF00401,115.4,true
W0055,Tivjidu,19187,2852,HF00373,90.8,true
W0059,Malrama,30305,5341,HF00409,56.7,true
W0060,Tammari,14036,2490,HF00401,115.7,true
W0141,Zamlani,57075,8559,HF00398,32.5,true
W0142,Ngengoyi,33913,5390,HF00416,81.4,true
W0147,Adenuru,12873,2145,HF00416,25.2,true
W0158,Tivzaba,27855,4068,HF00416,63.5,true
W0223,Lokngoko,17616,2961,HF00445,43.5,true
W0224,Uzoluwo,19272,2941,HF00445,49.3,true
W0236,Nasyowa,15838,2924,HF00419,88.4,true
W0256,Kadmaja,27456,4236,HF00419,35.7,true
W0264,Wurnude,52061,8286,HF00889,47.5,true
W0267,Okekede,18762,3202,HF00429,47.1,true
W0271,Oludude,9005,1362,HF00429,42.5,true
W0119,Joszayi,72302,11359,HF00352,72.3,true
W0125,Daishani,9610,1633,HF00139,97.1,true
W0129,Ibashadu,7693,1266,HF00352,41.6,true
W0167,Ekewafa,44270,6729,HF00441,47.7,true
W0178,Daijiwa,10786,1957,HF00437,70.3,true
W0194,Enurita,14421,2192,HF00439,42.2,true
W0201,Ekekowo,15984,2377,HF00439,66.8,true
W0207,Malkori,33013,5535,HF00445,45.3,true
W0149,Katbeba,22749,4201,HF00446,77.1,true
W0165,Funbaja,21338,3535,HF00451,78.1,true
W0175,Zamnawo,21571,3190,HF00451,52.6,true
W0188,Wurnuri,14815,2666,HF00441,60.0,true
W0205,Okelaja,7963,1195,HF00468,78.1,true
W0140,Uzosafa,25519,4665,HF00456,63.8,true
W0163,Bankoyi,9901,1780,HF00456,56.2,true
W0166,Agbkota,16828,2640,HF00446,69.3,true
W0221,Kuktiwa,10875,1908,HF00549,115.7,true
W0245,Banlumi,17915,3063,HF00461,61.8,true
W0248,Nasnayi,40002,6338,HF00463,36.6,true
W0253,Olulusa,8113,1231,HF00461,66.4,true
W0273,Hanlushi,7093,1168,HF00461,99.4,true
W0279,Kuklasa,57352,9814,HF00912,54.1,true
W0179,Yelrari,8241,1480,HF00468,44.9,true
W0202,Sokmimi,27319,4807,HF00470,39.1,true
W0209,Ibatsiba,17038,2981,HF00470,69.5,true
W0213,Enuyona,48741,7086,HF00468,65.6,true
W0222,Yobbeko,22786,3829,HF00461,27.1,true
W0296,Umukeshi,35733,5585,HF00486,102.2,true
W0315,Ibazawa,25866,4297,HF00511,78.2,true
W0318,Olumaru,27417,5009,HF00486,104.9,true
W0323,Uzojili,24087,4102,HF00486,53.8,true
W0324,Shabafa,12347,2159,HF00511,117.4,true
W0325,Funbayi,25799,3863,HF00486,63.3,true
W0334,Riyzama,28179,5032,HF00489,55.8,true
W0341,Umunuta,9135,1485,HF00490,52.8,true
W0359,Bansawa,27874,4691,HF00489,54.8,true
W0242,Birngoko,31901,5179,HF00492,62.6,true
W0254,Eketiyi,8363,1463,HF00499,27.6,true
W0255,Kukbeja,20506,3403,HF00499,6.0,true
W0263,Zamlama,30745,5289,HF00492,79.1,true
W0294,Yeltiko,44690,6712,HF00499,53.9,true
W0241,Banluba,12363,1821,HF00510,62.0,true
W0244,Yobnadu,39891,6419,HF00510,78.7,true
W0272,Bannasa,6751,1232,HF00510,48.3,true
W0287,Banngotu,18583,2855,HF00511,81.8,true
W0298,Adetsile,26085,4743,HF00511,81.9,true
W0304,Nasbayi,12467,2031,HF00524,59.3,true
W0317,Lokkoko,12865,2197,HF00547,99.2,true
W0326,Supbena,64897,9417,HF00526,64.8,true
W0332,Ibarima,5481,873,HF00524,27.8,true
W0340,Ekengomi,17469,2663,HF00526,35.9,true
W0348,Kukmatu,24631,4308,HF00489,59.8,true
W0366,Ngebana,9780,1757,HF00530,40.3,true
W0379,Birnuta,22064,3415,HF00526,73.4,true
W0385,Duttiri,41492,7184,HF00531,45.3,true
W0386,Birngowa,14935,2697,HF00530,47.2,true
W0362,Ekebewa,15624,2710,HF00541,62.4,true
W0374,Duttsita,15589,2528,HF00531,71.4,true
W0376,Yelwana,15857,2299,HF00541,51.4,true
W0401,Supmita,15361,2531,HF00531,61.7,true
W0407,Yelnuba,22891,3582,HF00542,74.2,true
W0408,Okedesa,9769,1615,HF00531,91.1,true
W0260,Banmiru,23563,4238,HF00463,40.6,true
W0274,Joskodu,18151,2747,HF00547,61.5,true
W0289,Tivbata,11737,1943,HF00547,22.7,true
W0200,Jostiko,5416,870,HF00561,59.6,true
W0218,Ekebemi,17471,2847,HF00549,50.9,true
W0233,Agbderu,7974,1468,HF00549,43.9,true
W0234,Hanbafa,30099,4494,HF00554,46.3,true
W0195,Sokdushi,30349,5243,HF00563,63.2,true
W0206,Birtima,32564,5971,HF00563,62.3,true
W0227,Kukngowa,14415,2543,HF00561,21.3,true
W0235,Olukoko,4374,786,HF00492,50.5,true
W0120,Ngemima,41942,6135,HF00213,69.1,true
W0133,Oluyoko,15374,2340,HF00566,30.4,true
W0148,Loksafa,8309,1490,HF00566,49.7,true
W0159,Dutsaba,12352,1824,HF00570,34.5,true
W0162,Gwolude,56819,9726,HF00566,100.0,true
W0172,Yelwari,32472,5890,HF00578,100.9,true
W0174,Ademano,6556,1094,HF00574,45.7,true
W0186,Adewadu,8052,1257,HF00574,35.4,true
W0203,Fundeko,40619,6982,HF00578,95.3,true
W0215,Josmita,20812,3542,HF00578,50.7,true
W0226,Ngeyomi,35645,5691,HF00608,102.5,true
W0229,Soknari,33580,6063,HF00578,113.7,true
W0238,Ngemafa,10716,1857,HF00578,89.2,true
W0230,Wurjino,21536,3377,HF00582,51.8,true
W0231,Funmidu,53205,8132,HF00587,39.2,true
W0232,Tivzana,15635,2575,HF00582,88.2,true
W0237,Soksani,37864,5643,HF00510,94.6,true
W0251,Yelzafa,64890,9790,HF00590,55.3,true
W0262,Banshako,21735,3996,HF00510,102.3,true
W0146,Riyjiwo,43412,7310,HF00596,79.4,true
W0153,Eketsishi,37573,6676,HF00596,57.7,true
W0173,Enuzale,24688,3756,HF00596,46.6,true
W0182,Ekesana,3372,592,HF00596,62.0,true
W0144,Hanlashi,38731,6298,HF00176,124.3,true
W0160,Katlatu,37198,6854,HF00176,86.3,true
W0183,Daikema,22175,3692,HF00600,63.8,true
W0192,Duttsija,26154,4454,HF00158,90.1,true
W0168,Shatsiru,30322,5296,HF00605,57.2,true
W0190,Katduna,19158,3251,HF00570,39.6,true
W0199,Ekekena,58641,9530,HF00608,35.6,true
W0204,Josnata,17791,2921,HF00608,91.5,true
W0210,Riyshawa,19364,2855,HF00605,31.1,true
W0220,Shabani,17795,2597,HF00582,59.0,true
W0211,Daideno,15540,2504,HF00587,78.7,true
W0217,Enurawo,28796,4281,HF00587,68.6,true
W0219,Iroshaba,10791,1931,HF00587,81.3,true
W0091,Yobzade,37811,6364,HF00621,72.7,true
W0106,Supsani,33198,5916,HF00622,71.0,true
W0118,Hanradu,31076,5386,HF00621,56.1,true
W0132,Ibangoja,5079,776,HF00596,80.7,true
W0145,Gwokemi,30630,5641,HF00596,48.5,true
W0321,Katriwa,25144,4134,HF00635,57.8,true
W0322,Hanluri,46058,7796,HF00633,49.1,true
W0336,Birmishi,27622,4470,HF00635,12.6,true
W0344,Wurzafa,28466,4595,HF00635,64.0,true
W0337,Okeluwo,60422,9242,HF00684,54.3,true
W0346,Yobnuma,5421,799,HF00642,73.7,true
W0365,Ibayoja,22597,3754,HF00642,52.8,true
W0388,Hanraru,36907,5874,HF00541,55.2,true
W0399,Katduba,17739,2807,HF00649,19.6,true
W0268,Ekemiwa,19759,3300,HF00659,92.7,true
W0291,Katnule,18324,2845,HF00659,52.2,true
W0292,Funrashi,34336,5582,HF00659,71.0,true
W0300,Tivtimi,28943,4887,HF00655,53.4,true
W0312,Banrani,9841,1715,HF00635,55.2,true
W0349,Tivshana,9478,1571,HF00670,57.7,true
W0357,Tivdeli,5469,800,HF00667,78.4,true
W0361,Sokyowa,23511,3518,HF00667,27.4,true
W0364,Katbeno,9987,1613,HF00667,63.0,true
W0375,Zamwari,24345,4005,HF00670,54.7,true
W0384,Daimako,8679,1375,HF00667,69.7,true
W0387,Baunata,25729,4186,HF01093,42.3,true
W0269,Shayona,39946,6008,HF00675,37.2,true
W0270,Ngeduru,40580,6791,HF00675,84.8,true
W0284,Okemishi,27389,4357,HF00675,48.5,true
W0285,Kukrali,28554,4691,HF00675,79.3,true
W0301,Agbsama,24268,3606,HF00684,93.3,true
W0305,Yobbana,7990,1262,HF00633,64.8,true
W0228,Yeldule,30843,4790,HF00692,159.4,true
W0250,Soknudu,10680,1795,HF00578,115.3,true
W0252,Shawaba,16640,3059,HF00692,104.1,true
W0276,Ngewama,8984,1304,HF00692,68.6,true
W0277,Okenatu,6289,924,HF00692,122.2,true
W0290,Dutrama,16813,3036,HF00695,72.6,true
W0350,Ekenushi,24459,3750,HF00705,38.3,true
W0372,Sokshano,18801,2800,HF01103,65.3,true
W0373,Ngeluli,16604,2928,HF01103,76.4,true
W0397,Ibangoba,17016,3113,HF00787,78.1,true
W0416,Agbkoli,63483,11133,HF00713,59.2,true
W0427,Katdeno,64470,9430,HF00713,53.0,true
W0438,Maldule,89130,13587,HF00713,65.5,true
W0457,Zambema,144693,26236,HF00754,69.7,true
W0363,Ibalana,67969,11837,HF00743,58.3,true
W0369,Tivyoyi,12654,2072,HF00722,59.7,true
W0378,Katbaru,66556,9690,HF00722,26.6,true
W0396,Katmana,108552,18540,HF00727,56.0,true
W0308,Uzodumi,56649,8954,HF00731,30.2,true
W0311,Uzotsiru,17315,3078,HF00736,41.6,true
W0320,Enumitu,62751,9137,HF00737,45.2,true
W0331,Daitsitu,66951,9983,HF00743,33.9,true
W0381,Bausako,165631,28205,HF00774,65.7,true
W0404,Kuknadu,28978,5337,HF00752,49.4,true
W0415,Birbele,54096,9626,HF00816,46.0,true
W0418,Banwama,63469,11492,HF00752,81.6,true
W0330,Daiyona,100817,17826,HF00772,114.2,true
W0333,Riylale,45323,7809,HF00772,68.7,true
W0351,Duttsisa,20255,3577,HF00789,44.2,true
W0352,Kukjino,238099,41681,HF00789,55.5,true
W0355,Uzosawo,81645,13881,HF00737,42.4,true
W0370,Agbnana,68830,11728,HF00774,62.0,true
W0382,Bantsiko,171413,27404,HF00776,30.5,true
W0307,Banlama,66320,12156,HF00782,63.8,true
W0313,Riymano,134531,24673,HF00782,38.2,true
W0339,Uzorimi,47819,7749,HF00782,82.8,true
W0342,Ngemiyi,173629,27558,HF00787,39.7,true
W0356,Daitisa,57444,8377,HF00789,36.2,true
W0358,Ekesasa,50681,9065,HF00787,52.1,true
W0398,Gwobako,114383,20259,HF00787,81.7,true
W0520,Yelbeba,21297,3456,HF00795,48.0,true
W0523,Riynaja,2417,430,HF00795,116.2,true
W0537,Ngesana,9976,1799,HF00799,34.5,true
W0571,Uzoyodu,41393,6855,HF00807,114.0,true
W0464,Tamnuta,36744,5704,HF00795,129.1,true
W0465,Gwokoma,9433,1447,HF00754,51.4,true
W0468,Supmija,26377,3832,HF00825,51.4,true
W0482,Banmide,23841,3968,HF00847,68.0,true
W0492,Adetsiko,7474,1352,HF00795,104.8,true
W0417,Daizana,18366,2762,HF00820,85.6,true
W0431,Adekede,7815,1274,HF00820,70.0,true
W0439,Daideli,18937,2996,HF00816,73.5,true
W0443,Supngotu,34129,5714,HF00820,46.1,true
W0452,Adewano,7444,1244,HF00820,30.2,true
W0453,Adetsidu,12736,1950,HF00825,33.7,true
W0470,Funyofa,9560,1494,HF00827,72.7,true
W0476,Yobngole,35002,5613,HF00827,72.5,true
W0484,Tivlano,45422,7802,HF00827,89.7,true
W0489,Ngemili,6567,1121,HF00829,25.3,true
W0490,Zamdena,23066,4084,HF00827,39.8,true
W0502,Hantima,41236,6427,HF00833,27.0,true
W0503,Yobbafa,29444,4594,HF00827,80.7,true
W0506,Dairili,55806,9194,HF00850,47.1,true
W0511,Supriyi,15593,2678,HF00850,68.9,true
W0521,Funwashi,15168,2577,HF00850,83.1,true
W0522,Dutluko,8488,1399,HF00850,54.3,true
W0554,Agbzali,61670,10296,HF00850,119.7,true
W0454,Gwoyowo,56223,8971,HF00847,138.8,true
W0474,Tambawa,17532,2839,HF00847,53.1,true
W0481,Uzolaba,4200,653,HF00847,42.0,true
W0499,Loktsifa,25735,4035,HF00850,54.4,true
W0410,Wurtimi,12659,1986,HF00856,68.8,true
W0424,Olunumi,12678,2217,HF00856,54.5,true
W0432,Adebale,10125,1694,HF00856,71.6,true
W0436,Shaduni,19802,3020,HF00847,130.7,true
W0449,Sharimi,23410,4323,HF01202,128.0,true
W0451,Ekebawa,8701,1569,HF00827,91.7,true
W0391,Kadbana,25752,4288,HF00864,36.3,true
W0409,Zamzani,11084,1939,HF00868,60.0,true
W0411,Umuduno,30087,4458,HF00863,84.7,true
W0414,Lokkode,67858,10432,HF00863,36.7,true
W0420,Bantsitu,39333,7085,HF00868,66.5,true
W0430,Daikowa,33801,5804,HF00863,111.9,true
W0297,Agbtiba,25472,4095,HF00893,85.7,true
W0306,Kukmiyi,17600,3229,HF00876,74.1,true
W0316,Tamduri,38124,5881,HF00876,35.4,true
W0319,Wurlutu,38852,6166,HF00731,53.0,true
W0329,Jostsita,13014,2007,HF00928,36.9,true
W0327,Suplashi,23202,4107,HF00881,51.5,true
W0345,Olulale,52073,9564,HF00524,46.9,true
W0347,Umurifa,18956,3222,HF00524,89.9,true
W0371,Wurzano,36608,5745,HF00524,96.6,true
W0377,Kukwana,18654,3375,HF00900,45.8,true
W0278,Nasrari,5709,856,HF00889,34.7,true
W0286,Riyridu,20150,3129,HF00908,53.2,true
W0302,Yeldena,31383,5194,HF00893,33.8,true
W0309,Lokyofa,22795,3929,HF00893,68.8,true
W0335,Lokkona,27978,4874,HF00893,56.8,true
W0383,Funkotu,8410,1531,HF00868,103.7,true
W0395,Supyomi,18207,3135,HF00900,78.9,true
W0400,Banzashi,6350,1159,HF01218,39.8,true
W0419,Uzowadu,41644,7348,HF01218,49.2,true
W0421,Okeriyi,10389,1619,HF00900,96.0,true
W0435,Katlale,23654,3543,HF01202,60.3,true
W0288,Daiwaru,31115,4774,HF00912,82.1,true
W0299,Hanwano,32330,5418,HF00908,34.8,true
W0314,Yobnushi,36757,6093,HF00912,21.8,true
W0328,Gwojishi,27906,4942,HF00912,54.7,true
W0354,Tivsako,23840,4066,HF00917,84.3,true
W0380,Josmako,12033,2078,HF00917,42.0,true
W0393,Yobkono,29872,5172,HF00723,53.2,true
W0394,Ekengoja,13519,2068,HF00856,71.6,true
W0338,Nastino,15608,2729,HF00933,52.2,true
W0353,Malshana,66078,10499,HF00928,57.0,true
W0360,Tivtsisa,60520,10296,HF00933,72.6,true
W0367,Nasjidu,29290,4270,HF00864,58.1,true
W0368,Josmatu,16569,2532,HF00916,26.2,true
W0462,Funngoru,53829,9389,HF00945,82.3,true
W0478,Wurshani,36194,5689,HF00945,100.3,true
W0486,Agbjisa,20259,3433,HF00945,81.8,true
W0487,Tamnuma,11546,1816,HF00945,75.6,true
W0508,Uzotsija,52312,7858,HF01065,78.7,true
W0512,Okezari,4392,666,HF01065,60.3,true
W0405,Irongoko,31968,5288,HF00953,77.0,true
W0413,Birtsiba,13492,2156,HF00954,62.7,true
W0422,Adedede,20157,3104,HF00649,52.0,true
W0425,Riynuna,4633,794,HF00954,39.6,true
W0428,Wurzani,5140,935,HF00954,73.4,true
W0448,Sokngono,29321,4854,HF00943,80.3,true
W0455,Daizaba,31974,5605,HF00943,87.2,true
W0423,Agbriko,37321,5670,HF00542,52.7,true
W0426,Agbshako,21816,3648,HF00542,71.7,true
W0442,Yobludu,28989,4322,HF00953,49.9,true
W0445,Josrani,5035,872,HF00960,52.4,true
W0459,Dutzali,12519,2043,HF00960,74.0,true
W0463,Baulasa,7935,1180,HF01248,71.3,true
W0485,Kattino,14862,2524,HF00966,48.2,true
W0493,Hanwani,16309,2376,HF01263,113.6,true
W0494,Funnari,16774,2882,HF00966,58.3,true
W0509,Shazama,12703,2280,HF00968,37.0,true
W0514,Katraja,15368,2468,HF01266,50.2,true
W0527,Wurkele,9432,1545,HF00968,68.9,true
W0541,Okenuko,25417,4015,HF01047,44.0,true
W0539,Sokdeba,106552,19545,HF00984,82.2,true
W0546,Adesale,81668,14732,HF00982,20.1,true
W0559,Lokrana,77390,13252,HF00988,23.5,true
W0560,Shatsiba,111681,18185,HF00984,41.0,true
W0565,Dailaba,114547,20174,HF00984,41.3,true
W0578,Irokoni,54612,9034,HF00994,63.0,true
W0582,Kukbeta,14994,2264,HF01035,112.0,true
W0594,Uzomisa,136327,22276,HF01000,82.7,true
W0596,Zamkoja,20075,3367,HF01002,34.5,true
W0612,Tivsana,46849,8493,HF01000,69.8,true
W0617,Ekekode,76328,13712,HF01002,71.5,true
W0579,Irozari,60964,10835,HF00988,78.4,true
W0580,Soktiba,41671,6786,HF01026,57.9,true
W0586,Kukngole,134710,24818,HF01026,39.5,true
W0593,Gwonale,25017,4616,HF01020,36.8,true
W0597,Ngetiba,110138,16966,HF01026,39.0,true
W0605,Wurbasa,65037,11672,HF01002,84.2,true
W0590,Gwonashi,78373,14204,HF01035,82.3,true
W0598,Shalule,70444,11428,HF01035,74.9,true
W0606,Josmadu,68604,11731,HF01000,34.8,true
W0609,Daiwana,72270,13328,HF01000,76.8,true
W0614,Wurngomi,45660,8304,HF01000,78.9,true
W0618,Funnuta,63541,10296,HF01294,98.1,true
W0547,Hanbeko,123248,20697,HF01047,33.8,true
W0562,Bandema,80909,13036,HF01048,39.8,true
W0566,Wurtsiwa,219138,36978,HF01054,28.2,true
W0576,Kadtini,115814,17571,HF01282,50.2,true
W0581,Daibefa,80085,13145,HF01035,74.2,true
W0533,Banluwa,73623,12097,HF01065,63.3,true
W0540,Umuyoba,220047,33576,HF01072,84.3,true
W0544,Hantsishi,56022,8481,HF01072,36.9,true
W0555,Baurima,136403,22122,HF01072,63.8,true
W0343,Uzojiri,15430,2514,HF01077,55.5,true
W0473,Tivnuta,42259,7641,HF01077,68.7,true
