facility_id,raw_lga_name,raw_sen_district,raw_longitude,raw_latitude,lon_parse_method,lat_parse_method,coord_status,lga_match_method,lga_match_score,matched_lga_code,matched_lga_canonical,matched_sen_district,sen_district_agrees
HF00412,Iromashi,Agbzatu Central,7.093594,8.373692,clean,clean,included,exact,100.0,LGA052,Iromashi,Agbzatu Central,True
HF00878,OlubaniSouth,Uzojina South,8.447777,8.411938,clean,clean,included,fuzzy,96.0,LGA083,OLUBANI-SOUTH,Uzojina South,True
HF01007,Funkedu,Supwasa Central,10.260593,11.483907,clean,clean,included,exact,100.0,LGA038,Funkedu,Supwasa Central,True
HF00612,Ironama LGA,Tivbetu Central,7.513699,10.715796,clean,clean,included,exact,100.0,LGA053,Ironama,Tivbetu Central,True
HF00593,Irongori,Tivbetu Central,7.939329,10.562777,clean,clean,included,exact,100.0,LGA054,Irongori,Tivbetu Central,True
HF00327,GWODELE-SOUTH,Agbzatu North,8.047543,7.748601,clean,clean,included,exact,100.0,LGA039,Gwodele-South,Agbzatu North,True
HF00474,Ngetija,Agbzatu South,7.666383,9.058666,clean,clean,included,exact,100.0,LGA079,Ngetija,Agbzatu South,True
HF00171,Zamtsiru,Kukrima South,6.793008,9.99931,clean,clean,included,exact,100.0,LGA121,Zamtsiru,Kukrima South,True
HF00272,Malmaba,Agbzatu North,7.495428,7.999495,clean,clean,included,exact,100.0,LGA070,Malmaba,Agbzatu North,True
HF00353,Zamkeri,Agbzatu Central,6.791232,8.635882,clean,clean,included,exact,100.0,LGA118,Zamkeri,Agbzatu Central,True
HF00603,Ironama,Tivbetu Central,7.444372,10.65135,clean,clean,included,exact,100.0,LGA053,Ironama,Tivbetu Central,True
HF00146,Wurmashi ,Kukrima Central,7.220868,10.195936,clean,clean,included,exact,100.0,LGA107,Wurmashi Local Govt Area,Kukrima Central,True
HF01189,YELTILI,Agbkeko North,9.889611,8.750201,clean,clean,included,exact,100.0,LGA110,Yeltili,Agbkeko North,True
HF00872,Olubani-South,Uzojina South,8.11253,8.376772,clean,clean,included,exact,100.0,LGA083,OLUBANI-SOUTH,Uzojina South,True
HF00590,Irongori LGA,Tivbetu Central,7.910697,10.762373,clean,clean,included,exact,100.0,LGA054,Irongori,Tivbetu Central,True
HF01233,Hanjile,Agbkeko Central,9.707219,9.752334,clean,clean,included,exact,100.0,LGA043,Hanjile,Agbkeko Central,True
HF01184,Maljiwo,Agbkeko North,9.648737,9.487315,clean,clean,included,exact,100.0,LGA069,Maljiwo,Agbkeko North,True
HF00696,Adekowo,Tivbetu South,8.457193,11.509368,clean,clean,included,exact,100.0,LGA002,Adekowo,Tivbetu South,True
HF00078,Ibabani,Kukrima North,6.600693,9.210301,clean,clean,included,exact,100.0,LGA047,Ibabani,Kukrima North,True
HF00430,Oketsifa,Agbzatu South,7.978672,8.463104,clean,clean,included,exact,100.0,LGA081,Oketsifa,Agbzatu South,True
HF00232,Enumade-West,Kukrima South,6.669143,10.501108,clean,clean,included,exact,100.0,LGA035,Enumade-West,Kukrima South,True
HF00280,Malmaba,Agbzatu North,7.661241,8.044617,clean,clean,included,exact,100.0,LGA070,Malmaba,Agbzatu North,True
HF00607,Ironama LGA,Tivbetu Central,7.489896,10.816027,clean,clean,included,exact,100.0,LGA053,Ironama,Tivbetu Central,True
HF00992,Zambani,Supwasa Central,10.124003,11.206534,clean,clean,included,exact,100.0,LGA115,Zambani,Supwasa Central,True
HF01291,Enumija,Agbkeko South,10.596473,10.087195,clean,clean,included,exact,100.0,LGA036,Enumija,Agbkeko South,True
HF01278,Nasnadu,Agbkeko South,9.931932,10.015632,clean,clean,included,exact,100.0,LGA073,Nasnadu  ,Agbkeko South,True
HF00881,Uzorisa,Uzojina South,8.328645,9.375223,clean,clean,included,exact,100.0,LGA105,Uzorisa Local Govt Area,Uzojina South,True
HF00182,DAIZADE,Kukrima South,6.388055,10.269453,clean,clean,included,exact,100.0,LGA027,Daizade,Kukrima South,True
HF01115,Oluyofa,Supwasa South,9.269803,11.281354,clean,clean,included,exact,100.0,LGA085,Oluyofa  ,Supwasa South,True
HF00385,Enutifa,Agbzatu Central,6.981476,8.01738,clean,clean,included,exact,100.0,LGA037,Enutifa,Agbzatu Central,True
HF01101,Baumiru,Supwasa South,9.068453,11.071724,clean,clean,included,exact,100.0,LGA018,Baumiru,Supwasa South,True
HF01049,Katdudu,Supwasa Central,9.91726,10.623578,clean,clean,included,exact,100.0,LGA060,Katdudu,Supwasa Central,True
HF00259,Agbmita,Agbzatu North,7.846695,7.87948,clean,clean,included,exact,100.0,LGA008,Agbmita  ,Agbzatu North,True
HF01078,Ekedeta-East,Supwasa South,9.41374,11.561336,clean,clean,included,exact,100.0,LGA032,Ekedeta-East,Supwasa South,True
HF00247,Yobkosa-South,Agbzatu North,7.477367,7.60339,clean,clean,included,exact,100.0,LGA112,Yobkosa-South,Agbzatu North,True
HF01179,Maljiwo,Agbkeko North,9.473237,9.069337,clean,clean,included,exact,100.0,LGA069,Maljiwo,Agbkeko North,True
HF01289,Enumija,Agbkeko South,10.661686,10.066308,clean,clean,included,exact,100.0,LGA036,Enumija,Agbkeko South,True
HF00061,Shajima LGA,Kukrima North,5.93974,9.277555,clean,clean,included,exact,100.0,LGA087,Shajima,Kukrima North,True
HF00869,Tivngoba,Uzojina South,9.0683,9.029568,clean,clean,included,exact,100.0,LGA098,Tivngoba,Uzojina South,True
HF00858,Wurkota,Uzojina Central,9.230096,8.697439,clean,clean,included,exact,100.0,LGA106,Wurkota  ,Uzojina Central,True
HF00709,Tivrafa-West,Uzojina North,"9°05'15.7""E","7°51'42.8""N",dms,dms,included,fuzzy,91.66666666666666,LGA099,Tivrafa West,Uzojina North,True
HF00768,Tamluni,Uzojina North,8.537452,7.929621,clean,clean,included,exact,100.0,LGA094,Tamluni,Uzojina North,True
HF00007,Maltsimi,Kukrima North,6.313554,9.211712,clean,clean,included,exact,100.0,LGA071,Maltsimi,Kukrima North,True
HF00224,ENUMADE-WEST,Kukrima South,6.609607,10.159319,clean,clean,included,exact,100.0,LGA035,Enumade-West,Kukrima South,True
HF00324,Gwodele-South,Agbzatu North,7.964362,7.639968,clean,clean,included,exact,100.0,LGA039,Gwodele-South,Agbzatu North,True
HF00446,Daishako,Agbzatu South,7.25048,8.964745,clean,clean,included,exact,100.0,LGA025,Daishako,Agbzatu South,True
HF00223,EnumadeWest,Kukrima South,6.489099,10.40638,clean,clean,included,fuzzy,95.65217391304348,LGA035,Enumade-West,Kukrima South,True
HF00346,Zamkeri ,Agbzatu Central,6.833786,8.72476,clean,clean,included,exact,100.0,LGA118,Zamkeri,Agbzatu Central,True
HF01214,Yobrifa-West,Agbkeko Central,8.927396,9.808456,clean,clean,included,exact,100.0,LGA114,YOBRIFA-WEST,Agbkeko Central,True
HF00426,Oketsifa,Agbzatu South,8.00421,8.651609,clean,clean,included,exact,100.0,LGA081,Oketsifa,Agbzatu South,True
HF00338,Gwodele South,Agbzatu North,8.176598,7.734437,clean,clean,included,fuzzy,92.3076923076923,LGA039,Gwodele-South,Agbzatu North,True
HF01046,Josmiba,Supwasa Central,10.726164,10.437667,clean,clean,included,exact,100.0,LGA058,Josmiba,Supwasa Central,True
HF01164,Jostile,Agbkeko North,10.115462,9.28227,clean,clean,included,exact,100.0,LGA059,Jostile,Agbkeko North,True
HF00434,Baungoshi,Agbzatu South,7.083152,8.802791,clean,clean,included,exact,100.0,LGA019,Baungoshi Local Govt Area,Agbzatu South,True
HF00924,ZAMBERI-NORTH,Uzojina South,,,missing,missing,excluded_missing_or_unparseable,exact,100.0,LGA116,Zamberi-North,Uzojina South,True
HF00149,WURMASHI,Kukrima Central,7.086451,10.05271,clean,clean,included,exact,100.0,LGA107,Wurmashi Local Govt Area,Kukrima Central,True
HF00575,Dutwano LGA,Tivbetu Central,7.646875,11.256142,clean,clean,included,exact,100.0,LGA030,Dutwano,Tivbetu Central,True
HF00238,Yobkosa-South,Agbzatu North,7.113152,7.718199,clean,clean,included,exact,100.0,LGA112,Yobkosa-South,Agbzatu North,True
HF01001,Bautiru-West LGA,Supwasa Central,10.550529,10.988309,clean,clean,included,exact,100.0,LGA020,Bautiru-West,Supwasa Central,True
HF00089,Yelkefa,Kukrima Central,7.273442,9.610453,clean,clean,included,exact,100.0,LGA109,Yelkefa,Kukrima Central,True
HF01088,Ekedeta-East,Supwasa South,9.494861,11.60626,clean,clean,included,exact,100.0,LGA032,Ekedeta-East,Supwasa South,True
HF00936,ZAMBERI-NORTH,Uzojina South,8.593943,8.710386,clean,clean,included,exact,100.0,LGA116,Zamberi-North,Uzojina South,True
HF00680,Olujiwa,Tivbetu South,8.178418,11.053379,clean,clean,included,exact,100.0,LGA084,Olujiwa,Tivbetu South,True
HF00427,Oketsifa,Agbzatu South,7.909573,8.602078,clean,clean,included,exact,100.0,LGA081,Oketsifa,Agbzatu South,True
HF00228,Enumade-West,Kukrima South,6.596656,10.287104,clean,clean,included,exact,100.0,LGA035,Enumade-West,Kukrima South,True
HF00314,Josduri-South,Agbzatu North,7.716855,7.619705,clean,clean,included,exact,100.0,LGA056,Josduri-South,Agbzatu North,True
HF00410,Supsama South,Agbzatu Central,6.637405,8.27629,clean,clean,included,fuzzy,92.3076923076923,LGA090,Supsama-South,Agbzatu Central,True
HF00046,Irolufa,Kukrima North,5.919656,9.891983,clean,clean,included,exact,100.0,LGA051,Irolufa,Kukrima North,True
HF00553,Malbawo-Central,Tivbetu North,7.916049,9.535463,clean,clean,included,exact,100.0,LGA068,MALBAWO-CENTRAL,Tivbetu North,True
HF00472,Ngetija LGA,Agbzatu South,7.751864,8.988739,clean,clean,included,exact,100.0,LGA079,Ngetija,Agbzatu South,True
HF00864,Tivngoba,Uzojina South,8.768377,8.778616,clean,clean,included,exact,100.0,LGA098,Tivngoba,Uzojina South,True
HF00750,Nasyotu,Uzojina North,8.949302,7.995727,clean,clean,included,exact,100.0,LGA076,Nasyotu,Uzojina North,True
HF00706,Adekowo,Tivbetu South,,,missing,missing,excluded_missing_or_unparseable,exact,100.0,LGA002,Adekowo,Tivbetu South,True
HF00212,Adenaja,Kukrima South,7.080229,10.451801,clean,clean,included,exact,100.0,LGA004,ADENAJA,Kukrima South,True
HF00733,Agbkotu-South,Uzojina North,8.371076,8.225309,clean,clean,included,exact,100.0,LGA006,Agbkotu-South,Uzojina North,True
HF00028,Riylude-North,Kukrima North,6.265556,9.779254,clean,clean,included,exact,100.0,LGA086,Riylude-North,Kukrima North,True
HF01051,Katdudu,Supwasa Central,10.163773,10.563865,clean,clean,included,exact,100.0,LGA060,Katdudu,Supwasa Central,True
HF00765,Tamluni,Uzojina North,8.380314,7.852321,clean,clean,included,exact,100.0,LGA094,Tamluni,Uzojina North,True
HF00371,Lokmata,Agbzatu Central,6.740098,8.862194,clean,clean,included,exact,100.0,LGA064,Lokmata,Agbzatu Central,True
HF01165,Jostile,Agbkeko North,10.100384,9.588139,clean,clean,included,exact,100.0,LGA059,Jostile,Agbkeko North,True
HF00975,Wuryona,Supwasa North,9.900395,10.460292,clean,clean,included,exact,100.0,LGA108,Wuryona,Supwasa North,True
HF01327,Gwodewo,Agbkeko South,10.588857,9.841031,clean,clean,included,exact,100.0,LGA040,Gwodewo,Agbkeko South,True
HF00752,Nasyotu,Uzojina North,8.906137,7.945131,clean,clean,included,exact,100.0,LGA076,Nasyotu,Uzojina North,True
HF00998,Bautiru-West,Supwasa Central,10.301712,10.82527,clean,clean,included,exact,100.0,LGA020,Bautiru-West,Supwasa Central,True
HF00931,Zamberi-North,Uzojina South,8.529102,8.909557,clean,clean,included,exact,100.0,LGA116,Zamberi-North,Uzojina South,True
HF00852,Adelaja-North,Uzojina Central,9.565986,8.407596,clean,clean,included,exact,100.0,LGA003,Adelaja-North,Uzojina Central,True
HF900919,Banluwo,Uzojina South,8.711253,8.537559,clean,clean,included,exact,100.0,LGA016,Banluwo,Uzojina South,True
HF00112,Lokbaru LGA,Kukrima Central,6.871133,10.009749,clean,clean,included,exact,100.0,LGA063,Lokbaru,Kukrima Central,True
HF00841,Dutkeni,Uzojina Central,9.991681,8.455646,clean,clean,included,exact,100.0,LGA029,Dutkeni  ,Uzojina Central,True
HF00352,Zamkeri,Agbzatu Central,6.913406,8.966096,clean,clean,included,exact,100.0,LGA118,Zamkeri,Agbzatu Central,True
HF00991,Zambani,Supwasa Central,,,missing,missing,excluded_missing_or_unparseable,exact,100.0,LGA115,Zambani,Supwasa Central,True
HF00022,Uzoluni,Kukrima North,6.21987,9.058692,clean,clean,included,exact,100.0,LGA104,Uzoluni,Kukrima North,True
HF00357,Irosaja,Agbzatu Central,6.758515,8.12586,clean,clean,included,exact,100.0,LGA055,Irosaja,Agbzatu Central,True
HF00261,Agbmita,Agbzatu North,8.026636,8.192502,clean,clean,included,exact,100.0,LGA008,Agbmita  ,Agbzatu North,True
HF00829,Yeltsina,Uzojina Central,9.419292,8.688749,clean,clean,included,exact,100.0,LGA111,Yeltsina Local Govt Area,Uzojina Central,True
HF00006,Maltsimi,Kukrima North,6.157591,9.570943,clean,clean,included,exact,100.0,LGA071,Maltsimi,Kukrima North,True
HF00687,Nasdudu-North,Tivbetu South,7.897815,11.565997,clean,clean,included,exact,100.0,LGA072,Nasdudu-North,Tivbetu South,True
HF00181,Daizade LGA,Kukrima South,6.279453,10.260356,clean,clean,included,exact,100.0,LGA027,Daizade,Kukrima South,True
HF00140,Gwolama,Kukrima Central,6.97876,9.337325,clean,clean,included,exact,100.0,LGA041,Gwolama,Kukrima Central,True
HF00432,BAUNGOSHI,Agbzatu South,7.13934,8.866435,clean,clean,included,exact,100.0,LGA019,Baungoshi Local Govt Area,Agbzatu South,True
HF00702,Adekowo,Tivbetu South,8.687186,11.588935,clean,clean,included,exact,100.0,LGA002,Adekowo,Tivbetu South,True
HF01075,Okeyoru-South,Supwasa Central,10.050456,10.678583,clean,clean,included,exact,100.0,LGA082,Okeyoru-South,Supwasa Central,True
HF00334,Gwodele-South ,Agbzatu North,8.202095,7.515021,clean,clean,included,exact,100.0,LGA039,Gwodele-South,Agbzatu North,True
HF00592,Irongori,Tivbetu Central,7.962429,10.63916,clean,clean,included,exact,100.0,LGA054,Irongori,Tivbetu Central,True
HF00101,Yelkefa,Kukrima Central,7.493593,9.441952,clean,clean,included,exact,100.0,LGA109,Yelkefa,Kukrima Central,True
HF01306,Ngemidu,Agbkeko South,10.376178,9.590761,clean,clean,included,exact,100.0,LGA077,Ngemidu,Agbkeko South,True
HF00955,Nasrifa,Supwasa North,9.248863,10.8182,clean,clean,included,exact,100.0,LGA074,Nasrifa  ,Supwasa North,True
HF01100,Baumiru,Supwasa South,9.014823,11.154474,clean,clean,included,exact,100.0,LGA018,Baumiru,Supwasa South,True
HF01211,Yobrifa-West,Agbkeko Central,8.894472,9.63016,clean,clean,included,exact,100.0,LGA114,YOBRIFA-WEST,Agbkeko Central,True
HF01240,Hanjile,Agbkeko Central,9.881908,9.6406,clean,clean,included,exact,100.0,LGA043,Hanjile,Agbkeko Central,True
HF00921,Banluwo,Uzojina South,8.831699,8.673921,clean,clean,included,exact,100.0,LGA016,Banluwo,Uzojina South,True
HF00875,Olubani-South,Uzojina South,8.293469,8.532028,clean,clean,included,exact,100.0,LGA083,OLUBANI-SOUTH,Uzojina South,True
HF01326,Gwodewo,Agbkeko South,10.55459,9.870037,clean,clean,included,exact,100.0,LGA040,Gwodewo,Agbkeko South,True
HF00031,Riylude-North,Kukrima North,6.253184,9.830211,clean,clean,included,exact,100.0,LGA086,Riylude-North,Kukrima North,True
HF00197,Umumitu,Kukrima South,6.661819,10.88988,clean,clean,included,exact,100.0,LGA102,Umumitu,Kukrima South,True
HF00685,Olujiwa,Tivbetu South,8.276554,10.800409,clean,clean,included,exact,100.0,LGA084,Olujiwa,Tivbetu South,True
HF01319,Zammiyi,Agbkeko South,10.642577,10.033475,clean,clean,included,exact,100.0,LGA119,ZAMMIYI,Agbkeko South,True
HF00568,Ibajija-South,Tivbetu Central,10.98254,7.147829,clean,clean,included,exact,100.0,LGA048,Ibajija-South,Tivbetu Central,True
HF00585,Irongori,Tivbetu Central,7.789818,10.883615,clean,clean,included,exact,100.0,LGA054,Irongori,Tivbetu Central,True
HF00443,AGBNGORU,Agbzatu South,7.65573,8.430011,clean,clean,included,exact,100.0,LGA009,Agbngoru,Agbzatu South,True
HF01237,HANJILE,Agbkeko Central,9.658971,9.607714,clean,clean,included,exact,100.0,LGA043,Hanjile,Agbkeko Central,True
HF00754,NASYOTU,Uzojina North,9.198542,8.028332,clean,clean,included,exact,100.0,LGA076,Nasyotu,Uzojina North,True
HF01282,Nasnadu,Agbkeko South,10.078286,10.270813,clean,clean,included,exact,100.0,LGA073,Nasnadu  ,Agbkeko South,True
HF00951,Nasrifa,Supwasa North,8.957197,10.87669,clean,clean,included,exact,100.0,LGA074,Nasrifa  ,Supwasa North,True
HF01299,Enumija ,Agbkeko South,10.826209,10.227893,clean,clean,included,exact,100.0,LGA036,Enumija,Agbkeko South,True
HF00133,Gwolama,Kukrima Central,6.729949,9.695893,clean,clean,included,exact,100.0,LGA041,Gwolama,Kukrima Central,True
HF00786,Nassako-Central,Uzojina North,8.540909,7.439272,clean,clean,included,exact,100.0,LGA075,Nassako-Central,Uzojina North,True
HF01216,Yobrifa West,Agbkeko Central,8.967089,9.602304,clean,clean,included,fuzzy,91.66666666666666,LGA114,YOBRIFA-WEST,Agbkeko Central,True
HF00063,Shajima,Kukrima North,5.836909,9.041206,clean,clean,included,exact,100.0,LGA087,Shajima,Kukrima North,True
HF00941,Adekeni,Supwasa North,9.464985,10.629006,clean,clean,included,exact,100.0,LGA001,Adekeni,Supwasa North,True
HF00463,Umumayi,Agbzatu South,8.003522,9.339455,clean,clean,included,exact,100.0,LGA101,Umumayi,Agbzatu South,True
HF00375,Lokmata,Agbzatu Central,6.766095,8.727617,clean,clean,included,exact,100.0,LGA064,Lokmata,Agbzatu Central,True
HF00103,Yelkefa,Kukrima Central,"7,444181","9,87923",comma_decimal,comma_decimal,included,exact,100.0,LGA109,Yelkefa,Kukrima Central,True
HF00359,Irosaja,Agbzatu Central,6.657077,8.081276,clean,clean,included,exact,100.0,LGA055,Irosaja,Agbzatu Central,True
