ea_code,stratum_code,stratum_name,lga_name,ward_name,settlement_type,households_census_2023,cluster_id,selected,stage1_selection_probability,stratum_total_households,clusters_selected_in_stratum,households_listed_fieldwork,field_status
EA00024,ST01,Bansara State,Tivkori,Shangodu,Urban,172,C022,1,0.12433735,41500.0,30.0,197.0,Visited as selected
EA00025,ST01,Bansara State,Ekizami,Tantsimi,Rural,120,,0,,,,,
EA00026,ST01,Bansara State,Gwatina,Plangosa,Rural,81,,0,,,,,
EA00027,ST01,Bansara State,Katriwa,Ekitsiyi,Rural,27,,0,,,,,
EA00028,ST01,Bansara State,Olotsimi,Ngetiri,Urban,205,,0,,,,,
EA00029,ST01,Bansara State,Yobrima,Rivkona,Rural,87,,0,,,,,
EA00030,ST01,Bansara State,Binmata,Halrisa,Rural,60,,0,,,,,
EA00031,ST01,Bansara State,Durdusa,Tivjija,Urban,93,,0,,,,,
EA00032,ST01,Bansara State,Dunmina,Bauyomi,Rural,37,,0,,,,,
EA00033,ST01,Bansara State,Jatzawo,Plazata,Rural,72,,0,,,,,
EA00034,ST01,Bansara State,Kusnuma,Jatrani,Rural,239,,0,,,,,
EA00035,ST01,Bansara State,Fumzasa,Uzungole,Rural,51,,0,,,,,
EA00036,ST01,Bansara State,Supkoshi,Adatsita,Urban,115,,0,,,,,
EA00037,ST01,Bansara State,Marbeta,Ngewali,Rural,84,,0,,,,,
EA00038,ST01,Bansara State,Tivkori,Adawama,Urban,179,,0,,,,,
EA00039,ST01,Bansara State,Ekizami,Durmishi,Rural,61,,0,,,,,
EA00040,ST01,Bansara State,Gwatina,Ololushi,Rural,125,C009,1,0.09036145,41500.0,30.0,126.0,Visited as selected
EA00041,ST01,Bansara State,Katriwa,Umosawo,Rural,151,,0,,,,,
EA00042,ST01,Bansara State,Olotsimi,Marmiwo,Rural,77,,0,,,,,
EA00043,ST01,Bansara State,Yobrima,Zartsiri,Rural,117,C010,1,0.08457831,41500.0,30.0,441.0,Visited as selected
EA00044,ST01,Bansara State,Binmata,Yenrali,Urban,158,C027,1,0.11421687,41500.0,30.0,262.0,Visited as selected
EA00045,ST01,Bansara State,Durdusa,Enwbeyi,Rural,88,,0,,,,,
EA00046,ST01,Bansara State,Dunmina,Okoyowo,Urban,149,,0,,,,,
EA00047,ST01,Bansara State,Jatzawo,Gomtitu,Rural,98,,0,,,,,
EA00048,ST01,Bansara State,Kusnuma,Benmili,Rural,159,,0,,,,,
EA00049,ST01,Bansara State,Fumzasa,Jatduwo,Rural,75,,0,,,,,
EA00050,ST01,Bansara State,Supkoshi,Gwabeja,Rural,95,,0,,,,,
EA00051,ST01,Bansara State,Marbeta,Fumriwa,Rural,87,,0,,,,,
EA00052,ST01,Bansara State,Tivkori,Halratu,Rural,39,,0,,,,,
EA00053,ST01,Bansara State,Ekizami,Adawale,Rural,46,,0,,,,,
EA00054,ST01,Bansara State,Gwatina,Tanjiwo,Rural,134,,0,,,,,
EA00055,ST01,Bansara State,Katriwa,Tivsana,Urban,61,,0,,,,,
EA00056,ST01,Bansara State,Olotsimi,Oloriko,Rural,36,,0,,,,,
EA00057,ST01,Bansara State,Yobrima,Adarari,Rural,48,,0,,,,,
EA00058,ST01,Bansara State,Binmata,Gwakode,Rural,56,,0,,,,,
EA00059,ST01,Bansara State,Durdusa,Agunade,Rural,117,,0,,,,,
EA00060,ST01,Bansara State,Dunmina,Wudjisa,Urban,270,C004,1,0.19518072,41500.0,30.0,291.0,Visited as selected
EA00061,ST01,Bansara State,Jatzawo,Hallumi,Urban,151,,0,,,,,
EA00062,ST01,Bansara State,Kusnuma,Umongoma,Urban,265,,0,,,,,
EA00063,ST01,Bansara State,Fumzasa,Durmitu,Rural,85,,0,,,,,
EA00064,ST01,Bansara State,Supkoshi,Nakyomi,Rural,93,,0,,,,,
EA00065,ST01,Bansara State,Marbeta,Binmiwa,Urban,234,,0,,,,,
EA00066,ST01,Bansara State,Tivkori,Adamawa,Rural,152,C005,1,0.10987952,41500.0,30.0,178.0,Visited as selected
EA00067,ST01,Bansara State,Ekizami,Olobema,Rural,52,,0,,,,,
EA00068,ST01,Bansara State,Gwatina,Yenmawo,Rural,48,,0,,,,,
EA00069,ST01,Bansara State,Katriwa,Sokngona,Rural,206,,0,,,,,
EA00070,ST01,Bansara State,Olotsimi,Wudwako,Rural,117,,0,,,,,
EA00071,ST01,Bansara State,Yobrima,Adarina,Rural,80,,0,,,,,
EA00072,ST01,Bansara State,Binmata,Tivngoni,Rural,66,,0,,,,,
EA00073,ST01,Bansara State,Durdusa,Benrale,Rural,26,,0,,,,,
EA00074,ST01,Bansara State,Dunmina,Gomnuwo,Rural,58,,0,,,,,
EA00075,ST01,Bansara State,Jatzawo,Agubele,Rural,66,,0,,,,,
EA00076,ST01,Bansara State,Kusnuma,Tanwawo,Rural,156,,0,,,,,
EA00077,ST01,Bansara State,Fumzasa,Okobeba,Rural,99,,0,,,,,
EA00078,ST01,Bansara State,Supkoshi,Dunjiwo,Rural,66,,0,,,,,
EA00079,ST01,Bansara State,Marbeta,Supjita,Urban,349,,0,,,,,
EA00080,ST01,Bansara State,Tivkori,Ngeshali,Rural,33,,0,,,,,
EA00081,ST01,Bansara State,Ekizami,Gommawo,Urban,138,,0,,,,,
EA00082,ST01,Bansara State,Gwatina,Barbetu,Urban,133,,0,,,,,
EA00083,ST01,Bansara State,Katriwa,Fumngoba,Urban,127,,0,,,,,
EA00084,ST01,Bansara State,Olotsimi,Nakkori,Rural,76,,0,,,,,
EA00085,ST01,Bansara State,Yobrima,Pladuwo,Urban,100,,0,,,,,
EA00086,ST01,Bansara State,Binmata,Okolama,Rural,130,,0,,,,,
EA00087,ST01,Bansara State,Durdusa,Fumbena,Urban,228,,0,,,,,
EA00088,ST01,Bansara State,Dunmina,Baulatu,Rural,146,,0,,,,,
EA00089,ST01,Bansara State,Jatzawo,Dunrade,Rural,163,,0,,,,,
EA00090,ST01,Bansara State,Kusnuma,Enwyole,Urban,162,,0,,,,,
EA00091,ST01,Bansara State,Fumzasa,Adamaja,Urban,246,,0,,,,,
EA00092,ST01,Bansara State,Supkoshi,Benmasa,Rural,134,C006,1,0.09686747,41500.0,30.0,177.0,Visited as selected
EA00093,ST01,Bansara State,Marbeta,Uzumili,Rural,59,,0,,,,,
EA00094,ST01,Bansara State,Tivkori,Umojiko,Rural,25,,0,,,,,
EA00095,ST01,Bansara State,Ekizami,Ibimija,Rural,74,C021,1,0.05349398,41500.0,30.0,58.0,Visited as selected
EA00096,ST01,Bansara State,Gwatina,Dunmayi,Rural,29,,0,,,,,
EA00097,ST01,Bansara State,Katriwa,Supwale,Rural,115,,0,,,,,
EA00098,ST01,Bansara State,Olotsimi,Gomngomi,Rural,153,,0,,,,,
EA00099,ST01,Bansara State,Yobrima,Jatrili,Urban,155,,0,,,,,
EA00100,ST01,Bansara State,Binmata,Nakraja,Rural,115,,0,,,,,
EA00101,ST01,Bansara State,Durdusa,Jatlaba,Urban,88,,0,,,,,
EA00102,ST01,Bansara State,Dunmina,Uzungoru,Rural,44,,0,,,,,
EA00103,ST01,Bansara State,Jatzawo,Gwatsija,Rural,162,,0,,,,,
EA00104,ST01,Bansara State,Kusnuma,Plabesa,Rural,118,,0,,,,,
EA00105,ST01,Bansara State,Fumzasa,Fumrari,Rural,48,,0,,,,,
EA00106,ST01,Bansara State,Supkoshi,Rivzami,Rural,93,,0,,,,,
EA00107,ST01,Bansara State,Marbeta,Plazayi,Rural,108,,0,,,,,
EA00108,ST01,Bansara State,Tivkori,Ngemale,Rural,121,,0,,,,,
EA00109,ST01,Bansara State,Ekizami,Supbeshi,Rural,65,,0,,,,,
EA00110,ST01,Bansara State,Gwatina,Kustsili,Urban,256,,0,,,,,
EA00111,ST01,Bansara State,Katriwa,Supzata,Rural,86,,0,,,,,
EA00112,ST01,Bansara State,Olotsimi,Yentsitu,Rural,109,,0,,,,,
EA00113,ST01,Bansara State,Yobrima,Lomlasa,Rural,130,,0,,,,,
EA00114,ST01,Bansara State,Binmata,Barnuli,Urban,46,,0,,,,,
EA00115,ST01,Bansara State,Durdusa,Kuszayi,Rural,131,,0,,,,,
EA00116,ST01,Bansara State,Dunmina,Tivshana,Rural,36,,0,,,,,
EA00117,ST01,Bansara State,Jatzawo,Okolaja,Rural,96,,0,,,,,
EA00118,ST01,Bansara State,Kusnuma,Lomsari,Rural,393,,0,,,,,
EA00119,ST01,Bansara State,Fumzasa,Barjiru,Rural,160,,0,,,,,
EA00120,ST01,Bansara State,Supkoshi,Gwayota,Rural,158,,0,,,,,
EA00121,ST01,Bansara State,Marbeta,Tanyoja,Rural,48,,0,,,,,
EA00122,ST01,Bansara State,Tivkori,Olongole,Urban,126,,0,,,,,
EA00123,ST01,Bansara State,Ekizami,Yentisa,Rural,25,,0,,,,,
EA00124,ST01,Bansara State,Gwatina,Binngodu,Rural,66,,0,,,,,
EA00125,ST01,Bansara State,Katriwa,Fumnali,Rural,92,,0,,,,,
EA00126,ST01,Bansara State,Olotsimi,Kusnuni,Rural,118,,0,,,,,
EA00127,ST01,Bansara State,Yobrima,Jatzashi,Rural,147,,0,,,,,
EA00128,ST01,Bansara State,Binmata,Maryona,Urban,153,,0,,,,,
EA00129,ST01,Bansara State,Durdusa,Plashari,Urban,219,,0,,,,,
EA00130,ST01,Bansara State,Dunmina,Plajiwa,Rural,105,,0,,,,,
EA00131,ST01,Bansara State,Jatzawo,Benmari,Rural,53,,0,,,,,
EA00132,ST01,Bansara State,Kusnuma,Olorile,Urban,64,,0,,,,,
EA00133,ST01,Bansara State,Fumzasa,Uzujiru,Urban,174,,0,,,,,
EA00134,ST01,Bansara State,Supkoshi,Lomngowo,Urban,123,,0,,,,,
EA00135,ST01,Bansara State,Marbeta,Barngodu,Rural,54,,0,,,,,
EA00136,ST01,Bansara State,Tivkori,Plangotu,Rural,70,,0,,,,,
EA00137,ST01,Bansara State,Ekizami,Zarmayi,Rural,42,,0,,,,,
EA00138,ST01,Bansara State,Gwatina,Benjiyi,Rural,88,,0,,,,,
EA00139,ST01,Bansara State,Katriwa,Baubemi,Urban,323,,0,,,,,
EA00140,ST01,Bansara State,Olotsimi,Binluwo,Urban,267,,0,,,,,
EA00141,ST01,Bansara State,Yobrima,Katyona,Rural,47,,0,,,,,
EA00142,ST01,Bansara State,Binmata,Katmima,Rural,28,,0,,,,,
EA00143,ST01,Bansara State,Durdusa,Supsami,Rural,75,C017,1,0.05421687,41500.0,30.0,90.0,Visited as selected
EA00144,ST01,Bansara State,Dunmina,Yenraru,Rural,96,C025,1,0.06939759,41500.0,30.0,95.0,Visited as selected
EA00145,ST01,Bansara State,Jatzawo,Ekinuko,Rural,124,,0,,,,,
EA00146,ST01,Bansara State,Kusnuma,Ibilama,Rural,92,,0,,,,,
EA00147,ST01,Bansara State,Fumzasa,Gwalule,Rural,137,,0,,,,,
EA00148,ST01,Bansara State,Supkoshi,Benriru,Urban,216,,0,,,,,
EA00149,ST01,Bansara State,Marbeta,Shatsidu,Rural,25,,0,,,,,
EA00150,ST01,Bansara State,Tivkori,Tannami,Rural,101,,0,,,,,
EA00151,ST01,Bansara State,Ekizami,Agutsimi,Rural,177,,0,,,,,
EA00152,ST01,Bansara State,Gwatina,Ekingota,Rural,100,,0,,,,,
EA00153,ST01,Bansara State,Katriwa,Oloyowa,Rural,123,,0,,,,,
EA00154,ST01,Bansara State,Olotsimi,Bauzasa,Rural,65,,0,,,,,
EA00155,ST01,Bansara State,Yobrima,Barzaja,Rural,168,,0,,,,,
EA00156,ST01,Bansara State,Binmata,Kusngotu,Rural,265,,0,,,,,
EA00157,ST01,Bansara State,Durdusa,Uzubemi,Rural,177,,0,,,,,
EA00158,ST01,Bansara State,Dunmina,Kalbeko,Urban,63,,0,,,,,
EA00159,ST01,Bansara State,Jatzawo,Ekijiwo,Rural,84,,0,,,,,
EA00160,ST01,Bansara State,Kusnuma,Durmima,Rural,95,,0,,,,,
EA00161,ST01,Bansara State,Fumzasa,Naktside,Rural,100,,0,,,,,
EA00162,ST01,Bansara State,Supkoshi,Yensama,Rural,122,,0,,,,,
EA00163,ST01,Bansara State,Marbeta,Barwata,Rural,67,,0,,,,,
EA00164,ST01,Bansara State,Tivkori,Adaritu,Rural,46,,0,,,,,
EA00165,ST01,Bansara State,Ekizami,Ibishale,Rural,161,,0,,,,,
EA00166,ST01,Bansara State,Gwatina,Shasaja,Rural,98,,0,,,,,
EA00167,ST01,Bansara State,Katriwa,Lomyowa,Rural,95,,0,,,,,
EA00168,ST01,Bansara State,Olotsimi,Ekikoba,Rural,209,,0,,,,,
EA00169,ST01,Bansara State,Yobrima,Zarkota,Rural,32,,0,,,,,
EA00170,ST01,Bansara State,Binmata,Adayoru,Rural,71,,0,,,,,
EA00171,ST01,Bansara State,Durdusa,Barzari,Rural,60,C019,1,0.04337349,41500.0,30.0,78.0,Visited as selected
EA00172,ST01,Bansara State,Dunmina,Zarmawa,Urban,122,,0,,,,,
EA00173,ST01,Bansara State,Jatzawo,Ibiwani,Rural,141,C015,1,0.10192771,41500.0,30.0,168.0,Visited as selected
EA00174,ST01,Bansara State,Kusnuma,Suplana,Rural,30,,0,,,,,
EA00175,ST01,Bansara State,Fumzasa,Suptitu,Rural,173,,0,,,,,
EA00176,ST01,Bansara State,Supkoshi,Yobnude,Urban,184,,0,,,,,
EA00177,ST01,Bansara State,Marbeta,Ngetsitu,Rural,177,,0,,,,,
EA00178,ST01,Bansara State,Tivkori,Shawaru,Rural,42,,0,,,,,
EA00179,ST01,Bansara State,Ekizami,Naknana,Rural,100,,0,,,,,
EA00180,ST01,Bansara State,Gwatina,Sokjili,Urban,138,C011,1,0.09975904,41500.0,30.0,127.0,Visited as selected
EA00181,ST01,Bansara State,Katriwa,Irakoshi,Rural,129,,0,,,,,
EA00182,ST01,Bansara State,Olotsimi,Bentishi,Rural,164,C018,1,0.11855422,41500.0,30.0,159.0,Visited as selected
EA00183,ST01,Bansara State,Yobrima,Shariba,Rural,180,,0,,,,,
EA00184,ST01,Bansara State,Binmata,Supsali,Urban,125,,0,,,,,
EA00185,ST01,Bansara State,Durdusa,Wudkoni,Rural,50,,0,,,,,
EA00186,ST01,Bansara State,Dunmina,Fumrama,Rural,107,,0,,,,,
EA00187,ST01,Bansara State,Jatzawo,Gwakodu,Rural,65,,0,,,,,
EA00188,ST01,Bansara State,Kusnuma,Halyori,Rural,75,,0,,,,,
EA00189,ST01,Bansara State,Fumzasa,Dunraru,Rural,54,,0,,,,,
EA00190,ST01,Bansara State,Supkoshi,Tivnana,Rural,124,,0,,,,,
EA00191,ST01,Bansara State,Marbeta,Enwrina,Urban,271,,0,,,,,
EA00192,ST01,Bansara State,Tivkori,Zarshari,Rural,45,,0,,,,,
EA00193,ST01,Bansara State,Ekizami,Adatile,Rural,68,,0,,,,,
EA00194,ST01,Bansara State,Gwatina,Supnusa,Rural,146,,0,,,,,
EA00195,ST01,Bansara State,Katriwa,Lomlaba,Rural,149,,0,,,,,
EA00196,ST01,Bansara State,Olotsimi,Kusluja,Rural,105,,0,,,,,
EA00197,ST01,Bansara State,Yobrima,Jatjita,Rural,92,,0,,,,,
EA00198,ST01,Bansara State,Binmata,Adajiru,Rural,97,,0,,,,,
EA00199,ST01,Bansara State,Durdusa,Kalnuru,Rural,91,,0,,,,,
EA00200,ST01,Bansara State,Dunmina,Ekitija,Urban,70,,0,,,,,
EA00201,ST01,Bansara State,Jatzawo,Tanngoni,Rural,167,,0,,,,,
EA00202,ST01,Bansara State,Kusnuma,Yentini,Rural,120,,0,,,,,
EA00203,ST01,Bansara State,Fumzasa,Supnatu,Urban,137,,0,,,,,
EA00204,ST01,Bansara State,Supkoshi,Rivtsiwa,Rural,88,,0,,,,,
EA00205,ST01,Bansara State,Marbeta,Marsata,Rural,62,,0,,,,,
EA00206,ST01,Bansara State,Tivkori,Irajile,Urban,117,,0,,,,,
EA00207,ST01,Bansara State,Ekizami,Benluba,Rural,58,,0,,,,,
EA00208,ST01,Bansara State,Gwatina,Bentsimi,Rural,76,,0,,,,,
EA00209,ST01,Bansara State,Katriwa,Enwsade,Urban,284,,0,,,,,
EA00210,ST01,Bansara State,Olotsimi,Agujina,Rural,90,,0,,,,,
EA00211,ST01,Bansara State,Yobrima,Binduma,Rural,124,,0,,,,,
EA00212,ST01,Bansara State,Binmata,Umowashi,Rural,75,,0,,,,,
EA00213,ST01,Bansara State,Durdusa,Plarale,Urban,201,C012,1,0.1453012,41500.0,30.0,273.0,Visited as selected
EA00214,ST01,Bansara State,Dunmina,Agumani,Rural,180,,0,,,,,
EA00215,ST01,Bansara State,Jatzawo,Rivriko,Urban,147,,0,,,,,
EA00216,ST01,Bansara State,Kusnuma,Aguladu,Rural,60,,0,,,,,
EA00217,ST01,Bansara State,Fumzasa,Benmama,Rural,164,,0,,,,,
EA00218,ST01,Bansara State,Supkoshi,Nakshaja,Rural,81,,0,,,,,
EA00219,ST01,Bansara State,Marbeta,Bautiba,Rural,107,,0,,,,,
EA00220,ST01,Bansara State,Tivkori,Okoduko,Rural,66,,0,,,,,
EA00221,ST01,Bansara State,Ekizami,Rivtili,Urban,261,,0,,,,,
EA00222,ST01,Bansara State,Gwatina,Marjini,Urban,140,,0,,,,,
EA00223,ST01,Bansara State,Katriwa,Lomwami,Rural,64,,0,,,,,
EA00224,ST01,Bansara State,Olotsimi,Martsile,Urban,49,,0,,,,,
EA00225,ST01,Bansara State,Yobrima,Supkoyi,Rural,40,,0,,,,,
EA00226,ST01,Bansara State,Binmata,Olotitu,Rural,84,,0,,,,,
EA00227,ST01,Bansara State,Durdusa,Halriko,Rural,119,,0,,,,,
EA00228,ST01,Bansara State,Dunmina,Bennuna,Urban,400,,0,,,,,
EA00229,ST01,Bansara State,Jatzawo,Ngerayi,Rural,72,,0,,,,,
EA00230,ST01,Bansara State,Kusnuma,Ekingowa,Rural,214,,0,,,,,
EA00231,ST01,Bansara State,Fumzasa,Duryota,Rural,62,,0,,,,,
EA00232,ST01,Bansara State,Supkoshi,Suptidu,Rural,88,,0,,,,,
EA00233,ST01,Bansara State,Marbeta,Kalwari,Rural,93,,0,,,,,
EA00234,ST01,Bansara State,Tivkori,Tivnawa,Rural,125,,0,,,,,
EA00235,ST01,Bansara State,Ekizami,Tannata,Rural,57,,0,,,,,
EA00236,ST01,Bansara State,Gwatina,Durrani,Rural,165,,0,,,,,
EA00237,ST01,Bansara State,Katriwa,Gwabewa,Rural,102,,0,,,,,
EA00238,ST01,Bansara State,Olotsimi,Tanngomi,Urban,196,,0,,,,,
EA00239,ST01,Bansara State,Yobrima,Dunngoshi,Rural,159,,0,,,,,
EA00240,ST01,Bansara State,Binmata,Haltsiko,Rural,76,,0,,,,,
EA00241,ST01,Bansara State,Durdusa,Sharadu,Rural,126,,0,,,,,
EA00242,ST01,Bansara State,Dunmina,Marjimi,Rural,154,,0,,,,,
EA00243,ST01,Bansara State,Jatzawo,Jatyowo,Rural,138,,0,,,,,
EA00244,ST01,Bansara State,Kusnuma,Umojide,Rural,196,,0,,,,,
EA00245,ST01,Bansara State,Fumzasa,Planasa,Rural,94,,0,,,,,
EA00246,ST01,Bansara State,Supkoshi,Kallawo,Rural,63,,0,,,,,
EA00247,ST01,Bansara State,Marbeta,Kalwadu,Rural,225,,0,,,,,
EA00248,ST01,Bansara State,Tivkori,Umonuna,Urban,123,C020,1,0.08891566,41500.0,30.0,138.0,Visited as selected
EA00249,ST01,Bansara State,Ekizami,Dunnami,Rural,221,,0,,,,,
EA00250,ST01,Bansara State,Gwatina,Uzulawo,Rural,107,,0,,,,,
EA00251,ST01,Bansara State,Katriwa,Gwawaru,Rural,211,,0,,,,,
EA00252,ST01,Bansara State,Olotsimi,Gwakoko,Rural,56,,0,,,,,
EA00253,ST01,Bansara State,Yobrima,Bensawa,Rural,56,,0,,,,,
EA00254,ST01,Bansara State,Binmata,Yenlari,Rural,80,,0,,,,,
EA00255,ST01,Bansara State,Durdusa,Yentile,Rural,155,C029,1,0.11204819,41500.0,30.0,130.0,Visited as selected
EA00256,ST01,Bansara State,Dunmina,Benzashi,Rural,133,C030,1,0.09614458,41500.0,30.0,133.0,Visited as selected
EA00257,ST01,Bansara State,Jatzawo,Okozata,Rural,107,,0,,,,,
EA00258,ST01,Bansara State,Kusnuma,Yenwawa,Urban,300,,0,,,,,
EA00259,ST01,Bansara State,Fumzasa,Adamana,Urban,357,,0,,,,,
EA00260,ST01,Bansara State,Supkoshi,Tivtsiwo,Rural,76,,0,,,,,
EA00261,ST01,Bansara State,Marbeta,Zarmiru,Urban,219,,0,,,,,
EA00262,ST01,Bansara State,Tivkori,Umosako,Rural,96,,0,,,,,
EA00263,ST01,Bansara State,Ekizami,Adatisa,Urban,164,C024,1,0.11855422,41500.0,30.0,189.0,Visited as selected
EA00264,ST01,Bansara State,Gwatina,Iramishi,Rural,247,,0,,,,,
EA00265,ST01,Bansara State,Katriwa,Plakoko,Urban,48,,0,,,,,
EA00266,ST01,Bansara State,Olotsimi,Tivkode,Rural,92,,0,,,,,
EA00267,ST01,Bansara State,Yobrima,Naktsiba,Rural,116,,0,,,,,
EA00268,ST01,Bansara State,Binmata,Shayona,Rural,47,,0,,,,,
EA00269,ST01,Bansara State,Durdusa,Benshadu,Rural,211,,0,,,,,
EA00270,ST01,Bansara State,Dunmina,Yentitu,Rural,120,,0,,,,,
EA00271,ST01,Bansara State,Jatzawo,Fumrali,Rural,82,,0,,,,,
EA00272,ST01,Bansara State,Kusnuma,Katnawa,Rural,28,,0,,,,,
EA00273,ST01,Bansara State,Fumzasa,Gwangoshi,Rural,225,C008,1,0.1626506,41500.0,30.0,242.0,Visited as selected
EA00274,ST01,Bansara State,Supkoshi,Oloyoshi,Rural,132,,0,,,,,
EA00275,ST01,Bansara State,Marbeta,Ekinuba,Rural,102,,0,,,,,
EA00276,ST01,Bansara State,Tivkori,Dunmiyi,Rural,75,,0,,,,,
EA00277,ST01,Bansara State,Ekizami,Sokluma,Rural,192,,0,,,,,
EA00278,ST01,Bansara State,Gwatina,Gomnuli,Rural,52,,0,,,,,
EA00279,ST01,Bansara State,Katriwa,Fumshami,Rural,38,,0,,,,,
EA00280,ST01,Bansara State,Olotsimi,Zarnashi,Rural,107,,0,,,,,
EA00281,ST01,Bansara State,Yobrima,Gomwawa,Urban,105,,0,,,,,
EA00282,ST01,Bansara State,Binmata,Gwayowa,Urban,252,,0,,,,,
EA00283,ST01,Bansara State,Durdusa,Ngewaru,Rural,158,C026,1,0.11421687,41500.0,30.0,147.0,Visited as selected
EA00284,ST01,Bansara State,Dunmina,Katwale,Urban,229,C014,1,0.16554217,41500.0,30.0,119.0,Visited as selected
EA00285,ST01,Bansara State,Jatzawo,Rivmiwo,Rural,76,,0,,,,,
EA00286,ST01,Bansara State,Kusnuma,Bauyode,Rural,84,,0,,,,,
EA00287,ST01,Bansara State,Fumzasa,Wudyoma,Rural,137,,0,,,,,
EA00288,ST01,Bansara State,Supkoshi,Gomnaru,Rural,80,,0,,,,,
EA00289,ST01,Bansara State,Marbeta,Tivluru,Rural,68,,0,,,,,
EA00290,ST01,Bansara State,Tivkori,Adaluni,Rural,86,,0,,,,,
EA00291,ST01,Bansara State,Ekizami,Tanyoru,Rural,93,,0,,,,,
EA00292,ST01,Bansara State,Gwatina,Dunkole,Urban,239,,0,,,,,
EA00293,ST01,Bansara State,Katriwa,Halzaba,Rural,82,,0,,,,,
EA00294,ST01,Bansara State,Olotsimi,Yobmade,Rural,183,,0,,,,,
EA00295,ST01,Bansara State,Yobrima,Dunbeyi,Rural,247,,0,,,,,
EA00296,ST01,Bansara State,Binmata,Halrita,Rural,48,,0,,,,,
EA00297,ST01,Bansara State,Durdusa,Shatsile,Urban,152,,0,,,,,
EA00298,ST01,Bansara State,Dunmina,Haljili,Rural,132,,0,,,,,
EA00299,ST01,Bansara State,Jatzawo,Umotsishi,Rural,78,,0,,,,,
EA00300,ST01,Bansara State,Kusnuma,Naktsiwo,Rural,73,,0,,,,,
EA00301,ST01,Bansara State,Fumzasa,Umoritu,Rural,190,,0,,,,,
EA00302,ST01,Bansara State,Supkoshi,Yenshami,Urban,212,,0,,,,,
EA00303,ST01,Bansara State,Marbeta,Benkotu,Rural,93,,0,,,,,
EA00304,ST01,Bansara State,Tivkori,Tivrale,Rural,78,,0,,,,,
EA00305,ST01,Bansara State,Ekizami,Tanngotu,Rural,127,C007,1,0.09180723,41500.0,30.0,152.0,Visited as selected
EA00306,ST01,Bansara State,Gwatina,Fumladu,Rural,86,,0,,,,,
EA00307,ST01,Bansara State,Katriwa,Ekinashi,Rural,65,,0,,,,,
EA00308,ST01,Bansara State,Olotsimi,Fumjidu,Rural,129,C023,1,0.09325301,41500.0,30.0,151.0,Visited as selected
EA00309,ST01,Bansara State,Yobrima,Adashale,Rural,88,,0,,,,,
EA00310,ST01,Bansara State,Binmata,Olobede,Rural,101,,0,,,,,
EA00311,ST01,Bansara State,Durdusa,Yenyodu,Rural,138,,0,,,,,
EA00312,ST01,Bansara State,Dunmina,Benluma,Rural,139,,0,,,,,
EA00313,ST01,Bansara State,Jatzawo,Baununi,Rural,73,,0,,,,,
EA00314,ST01,Bansara State,Kusnuma,Marjishi,Rural,95,C028,1,0.0686747,41500.0,30.0,119.0,Visited as selected
EA00315,ST01,Bansara State,Fumzasa,Adadusa,Rural,111,,0,,,,,
EA00316,ST01,Bansara State,Supkoshi,Rivsari,Urban,66,,0,,,,,
