household_id,cluster_id,stratum_code,interviewer_id,interview_date,interview_duration_min,result_of_visit,eligible_children_9_59_months,wealth_quintile,settlement_type,stage2_households_listed,stage2_households_selected
H00857,C043,ST02,I07,2026-05-18,4,Completed,1.0,4.0,Rural,128,20
H00516,C026,ST01,I08,2026-05-15,19,Refused,,,Rural,147,20
H01601,C081,ST03,I09,2026-05-24,31,Completed,1.0,1.0,Urban,260,20
H01534,C077,ST03,I05,2026-05-23,24,Completed,1.0,5.0,Urban,334,20
H01488,C075,ST03,I03,2026-05-23,16,Completed,2.0,5.0,Rural,153,20
H01121,C057,ST02,I03,2026-05-20,19,Completed,4.0,5.0,Rural,96,20
H00518,C026,ST01,I08,2026-05-15,22,Completed,0.0,5.0,Rural,147,20
H00172,C009,ST01,I09,2026-05-12,18,Completed,2.0,5.0,Rural,126,20
H01301,C066,ST03,I12,2026-05-21,27,Completed,1.0,5.0,Urban,211,20
H00823,C042,ST02,I06,2026-05-17,26,Completed,2.0,5.0,Rural,123,20
H00768,C039,ST02,I03,2026-05-17,25,Completed,3.0,4.0,Rural,142,20
H00974,C049,ST02,I13,2026-05-19,23,Completed,3.0,1.0,Urban,615,20
H00498,C025,ST01,I07,2026-05-15,4,Completed,2.0,1.0,Rural,95,20
H01326,C067,ST03,I13,2026-05-22,26,Completed,2.0,2.0,Rural,136,20
H01339,C067,ST03,I13,2026-05-22,25,No eligible respondent after 3 visits,,,Rural,136,20
H00771,C039,ST02,I03,2026-05-17,32,Completed,2.0,1.0,Rural,142,20
H01706,C086,ST03,I14,2026-05-25,22,Refused,,,Rural,83,20
H00986,C050,ST02,I14,2026-05-19,27,Completed,1.0,2.0,Rural,135,20
H00212,C011,ST01,I11,2026-05-12,17,Completed,2.0,5.0,Urban,127,20
H01526,C077,ST03,I05,2026-05-23,18,Completed,1.0,2.0,Urban,334,20
H00762,C039,ST02,I03,2026-05-17,14,Completed,1.0,5.0,Rural,142,20
H00303,C016,ST01,I16,2026-05-13,23,Completed,1.0,3.0,Rural,193,20
H00173,C009,ST01,I09,2026-05-12,30,No eligible respondent after 3 visits,,,Rural,126,20
H00926,C047,ST02,I11,2026-05-18,25,Completed,4.0,5.0,Urban,230,20
H01626,C082,ST03,I10,2026-05-24,28,Refused,,,Urban,111,20
H00776,C039,ST02,I03,2026-05-17,21,Completed,0.0,3.0,Rural,142,20
H01199,C060,ST02,I06,2026-05-20,16,Completed,1.0,2.0,Urban,183,20
H00852,C043,ST02,I07,2026-05-18,5,Completed,0.0,5.0,Rural,128,20
H00215,C011,ST01,I11,2026-05-12,15,Completed,1.0,2.0,Urban,127,20
H00466,C024,ST01,I06,2026-05-14,21,Completed,1.0,5.0,Urban,189,20
H01639,C082,ST03,I10,2026-05-24,31,Completed,1.0,4.0,Urban,111,20
H00554,C028,ST01,I10,2026-05-15,15,Completed,3.0,1.0,Rural,119,20
H01376,C069,ST03,I15,2026-05-22,23,Completed,0.0,4.0,Rural,386,20
H01732,C087,ST03,I15,2026-05-25,22,Refused,,,Urban,229,20
H00513,C026,ST01,I08,2026-05-15,20,Completed,0.0,2.0,Rural,147,20
H00209,C011,ST01,I11,2026-05-12,23,Completed,2.0,1.0,Urban,127,20
H01523,C077,ST03,I05,2026-05-23,14,Completed,0.0,2.0,Urban,334,20
H01766,C089,ST03,I17,2026-05-25,25,Completed,3.0,5.0,Urban,146,20
H00710,C036,ST02,I18,2026-05-16,23,No eligible respondent after 3 visits,,,Urban,262,20
H01177,C059,ST02,I05,2026-05-20,23,Completed,0.0,4.0,Rural,275,20
H00360,C018,ST01,I18,2026-05-13,19,Completed,0.0,2.0,Rural,159,20
H00661,C034,ST02,I16,2026-05-16,16,Completed,1.0,3.0,Rural,79,20
H00322,C017,ST01,I17,2026-05-13,15,Refused,,,Rural,90,20
H00880,C044,ST02,I08,2026-05-18,25,Completed,1.0,2.0,Urban,131,20
H01108,C056,ST02,I02,2026-05-20,16,Completed,1.0,2.0,Urban,46,20
H01389,C070,ST03,I16,2026-05-22,21,Completed,1.0,1.0,Urban,133,20
H00421,C022,ST01,I04,2026-05-14,22,Completed,2.0,4.0,Urban,197,20
H01060,C053,ST02,I17,2026-05-19,18,Completed,0.0,4.0,Rural,64,20
H01043,C053,ST02,I17,2026-05-19,23,Completed,3.0,1.0,Rural,64,20
H00483,C025,ST01,I07,2026-05-15,2,Completed,1.0,1.0,Rural,95,20
H00718,C036,ST02,I18,2026-05-16,22,Completed,1.0,3.0,Urban,262,20
H00829,C042,ST02,I06,2026-05-17,24,Completed,1.0,2.0,Rural,123,20
H00482,C025,ST01,I07,2026-05-15,4,Completed,4.0,2.0,Rural,95,20
H00954,C048,ST02,I12,2026-05-18,20,Completed,3.0,3.0,Rural,229,20
H00349,C018,ST01,I18,2026-05-13,23,No eligible respondent after 3 visits,,,Rural,159,20
H00967,C049,ST02,I13,2026-05-19,24,Completed,2.0,5.0,Urban,615,20
H01022,C052,ST02,I16,2026-05-19,25,Completed,1.0,5.0,Urban,623,20
H00100,C005,ST01,I05,2026-05-11,18,Completed,0.0,3.0,Rural,178,20
H00650,C033,ST02,I15,2026-05-16,17,Completed,1.0,5.0,Rural,81,20
H01157,C058,ST02,I04,2026-05-20,28,Completed,0.0,1.0,Rural,380,20
H01533,C077,ST03,I05,2026-05-23,34,Completed,2.0,3.0,Urban,334,20
H00643,C033,ST02,I15,2026-05-16,25,Completed,1.0,1.0,Rural,81,20
H01498,C075,ST03,I03,2026-05-23,21,Completed,1.0,1.0,Rural,153,20
H01782,C090,ST03,I07,2026-05-25,3,Completed,0.0,4.0,Urban,220,20
H01560,C078,ST03,I06,2026-05-23,23,No eligible respondent after 3 visits,,,Urban,151,20
H01064,C054,ST02,I18,2026-05-19,31,No eligible respondent after 3 visits,,,Rural,88,20
H00207,C011,ST01,I11,2026-05-12,24,Completed,3.0,1.0,Urban,127,20
H00055,C003,ST01,I03,2026-05-11,8,Completed,1.0,2.0,Urban,226,20
H01719,C086,ST03,I14,2026-05-25,31,Completed,1.0,1.0,Rural,83,20
H00875,C044,ST02,I08,2026-05-18,22,No eligible respondent after 3 visits,,,Urban,131,20
H00868,C044,ST02,I08,2026-05-18,13,Completed,3.0,5.0,Urban,131,20
H00161,C009,ST01,I09,2026-05-12,21,Completed,1.0,4.0,Rural,126,20
H00538,C027,ST01,I09,2026-05-15,25,Completed,1.0,4.0,Urban,262,20
H00185,C010,ST01,I10,2026-05-12,25,Refused,,,Rural,441,20
H01369,C069,ST03,I15,2026-05-22,30,Completed,3.0,4.0,Rural,386,20
H00390,C020,ST01,I02,2026-05-14,20,Completed,0.0,3.0,Urban,138,20
H01227,C062,ST03,I08,2026-05-21,17,Completed,2.0,1.0,Urban,96,20
H01705,C086,ST03,I14,2026-05-25,12,Completed,1.0,4.0,Rural,83,20
H00760,C038,ST02,I02,2026-05-17,18,Completed,3.0,4.0,Rural,207,20
H00796,C040,ST02,I04,2026-05-17,3,Vacant dwelling,,,Urban,181,20
H01657,C083,ST03,I11,2026-05-24,25,Completed,3.0,2.0,Urban,138,20
H00121,C007,ST01,I07,2026-05-12,5,Completed,2.0,3.0,Rural,152,20
H00575,C029,ST01,I11,2026-05-15,12,Completed,4.0,5.0,Rural,130,20
H01222,C062,ST03,I08,2026-05-21,29,Vacant dwelling,,,Urban,96,20
H00546,C028,ST01,I10,2026-05-15,29,Completed,0.0,5.0,Rural,119,20
H00797,C040,ST02,I04,2026-05-17,20,Completed,1.0,2.0,Urban,181,20
H01029,C052,ST02,I16,2026-05-19,27,Completed,1.0,4.0,Urban,623,20
H00399,C020,ST01,I02,2026-05-14,20,Completed,2.0,5.0,Urban,138,20
H00327,C017,ST01,I17,2026-05-13,15,Completed,1.0,4.0,Rural,90,20
H00525,C027,ST01,I09,2026-05-15,31,Completed,2.0,4.0,Urban,262,20
H01125,C057,ST02,I03,2026-05-20,23,Completed,2.0,2.0,Rural,96,20
H00099,C005,ST01,I05,2026-05-11,24,Completed,0.0,4.0,Rural,178,20
H00651,C033,ST02,I15,2026-05-16,25,Completed,1.0,1.0,Rural,81,20
H01701,C086,ST03,I14,2026-05-25,24,Completed,1.0,2.0,Rural,83,20
H00988,C050,ST02,I14,2026-05-19,20,Completed,2.0,1.0,Rural,135,20
H00203,C011,ST01,I11,2026-05-12,23,Vacant dwelling,,,Urban,127,20
H00038,C002,ST01,I02,2026-05-11,33,Completed,1.0,1.0,Rural,287,20
H01763,C089,ST03,I17,2026-05-25,14,Refused,,,Urban,146,20
H00609,C031,ST02,I13,2026-05-16,20,Completed,2.0,5.0,Rural,160,20
H01092,C055,ST02,I01,2026-05-20,17,Completed,2.0,5.0,Rural,262,20
H00830,C042,ST02,I06,2026-05-17,18,Completed,1.0,1.0,Rural,123,20
H01659,C083,ST03,I11,2026-05-24,23,Completed,0.0,3.0,Urban,138,20
H01401,C071,ST03,I17,2026-05-22,20,Completed,2.0,1.0,Rural,239,20
H00920,C046,ST02,I10,2026-05-18,21,Completed,1.0,1.0,Rural,129,20
H01673,C084,ST03,I12,2026-05-24,22,Completed,2.0,4.0,Rural,678,20
H00470,C024,ST01,I06,2026-05-14,22,Completed,2.0,1.0,Urban,189,20
H00012,C001,ST01,I01,2026-05-11,28,Completed,1.0,2.0,Urban,318,20
H00487,C025,ST01,I07,2026-05-15,3,Completed,2.0,5.0,Rural,95,20
H01415,C071,ST03,I17,2026-05-22,30,Completed,1.0,4.0,Rural,239,20
H01216,C061,ST03,I07,2026-05-21,4,Completed,2.0,3.0,Urban,432,20
H00747,C038,ST02,I02,2026-05-17,17,Completed,1.0,5.0,Rural,207,20
H00097,C005,ST01,I05,2026-05-11,24,Completed,0.0,4.0,Rural,178,20
H00722,C037,ST02,I01,2026-05-17,23,Completed,0.0,2.0,Urban,222,20
H01280,C064,ST03,I10,2026-05-21,25,Completed,2.0,1.0,Rural,260,20
H00490,C025,ST01,I07,2026-05-15,3,Completed,0.0,5.0,Rural,95,20
H00402,C021,ST01,I07,2026-05-14,4,Completed,1.0,5.0,Rural,58,20
H00431,C022,ST01,I04,2026-05-14,13,Completed,2.0,5.0,Urban,197,20
H01481,C075,ST03,I03,2026-05-23,22,Completed,1.0,3.0,Rural,153,20
H01749,C088,ST03,I16,2026-05-25,20,Completed,0.0,2.0,Rural,55,20
H01198,C060,ST02,I06,2026-05-20,27,Completed,2.0,4.0,Urban,183,20
H00423,C022,ST01,I04,2026-05-14,19,Completed,3.0,1.0,Urban,197,20
H00951,C048,ST02,I12,2026-05-18,25,Vacant dwelling,,,Rural,229,20
H00714,C036,ST02,I18,2026-05-16,27,Completed,4.0,4.0,Urban,262,20
H01392,C070,ST03,I16,2026-05-22,17,No eligible respondent after 3 visits,,,Urban,133,20
H00294,C015,ST01,I15,2026-05-13,35,Completed,1.0,3.0,Rural,168,20
H01305,C066,ST03,I12,2026-05-21,9,No eligible respondent after 3 visits,,,Urban,211,20
H00980,C049,ST02,I13,2026-05-19,17,Completed,1.0,3.0,Urban,615,20
H01640,C082,ST03,I10,2026-05-24,20,No eligible respondent after 3 visits,,,Urban,111,20
H01497,C075,ST03,I03,2026-05-23,9,Completed,2.0,3.0,Rural,153,20
H01507,C076,ST03,I04,2026-05-23,27,No eligible respondent after 3 visits,,,Urban,168,20
H01160,C058,ST02,I04,2026-05-20,11,Completed,3.0,5.0,Rural,380,20
H01656,C083,ST03,I11,2026-05-24,24,Completed,1.0,2.0,Urban,138,20
H00053,C003,ST01,I03,2026-05-11,11,Completed,3.0,1.0,Urban,226,20
H00250,C013,ST01,I13,2026-05-13,19,Completed,2.0,2.0,Urban,196,20
H01553,C078,ST03,I06,2026-05-23,9,Completed,1.0,1.0,Urban,151,20
H00646,C033,ST02,I15,2026-05-16,16,Completed,1.0,1.0,Rural,81,20
H01780,C089,ST03,I17,2026-05-25,34,No eligible respondent after 3 visits,,,Urban,146,20
H00944,C048,ST02,I12,2026-05-18,25,Completed,2.0,5.0,Rural,229,20
H01573,C079,ST03,I07,2026-05-24,5,Completed,0.0,2.0,Rural,161,20
H01590,C080,ST03,I08,2026-05-24,20,Completed,4.0,3.0,Rural,139,20
H00991,C050,ST02,I14,2026-05-19,27,Refused,,,Rural,135,20
H01037,C052,ST02,I16,2026-05-19,11,Completed,4.0,2.0,Urban,623,20
H01537,C077,ST03,I05,2026-05-23,25,No eligible respondent after 3 visits,,,Urban,334,20
H00230,C012,ST01,I12,2026-04-29,23,Completed,2.0,3.0,Urban,273,20
H01402,C071,ST03,I17,2026-05-22,31,Vacant dwelling,,,Rural,239,20
H01708,C086,ST03,I14,2026-05-25,19,Completed,1.0,1.0,Rural,83,20
H00090,C005,ST01,I05,2026-05-11,25,Completed,2.0,5.0,Rural,178,20
H01711,C086,ST03,I14,2026-05-25,21,Completed,2.0,1.0,Rural,83,20
H00181,C010,ST01,I10,2026-05-12,15,Completed,3.0,4.0,Rural,441,20
H01450,C073,ST03,I01,2026-05-23,27,Completed,1.0,2.0,Rural,14,20
H01760,C088,ST03,I16,2026-05-25,26,Completed,3.0,5.0,Rural,55,20
H00261,C014,ST01,I07,2026-05-13,4,Completed,0.0,5.0,Urban,119,20
H00766,C039,ST02,I03,2026-05-17,12,Completed,1.0,2.0,Rural,142,20
H00634,C032,ST02,I14,2026-05-16,16,Completed,2.0,1.0,Rural,68,20
H00697,C035,ST02,I17,2026-05-16,22,Completed,2.0,5.0,Urban,80,20
H01469,C074,ST03,I02,2026-05-23,28,Completed,2.0,2.0,Rural,86,20
H00679,C034,ST02,I16,2026-05-16,12,Completed,0.0,4.0,Rural,79,20
H00800,C040,ST02,I04,2026-05-17,10,Completed,2.0,2.0,Urban,181,20
H00048,C003,ST01,I03,2026-05-11,30,Completed,1.0,3.0,Urban,226,20
H01571,C079,ST03,I07,2026-05-24,3,Completed,2.0,4.0,Rural,161,20
H01790,C090,ST03,I07,2026-05-25,2,Completed,0.0,5.0,Urban,220,20
H01698,C085,ST03,I13,2026-05-25,28,Refused,,,Urban,121,20
H01055,C053,ST02,I17,2026-05-19,16,Completed,3.0,5.0,Rural,64,20
H00552,C028,ST01,I10,2026-05-15,13,Refused,,,Rural,119,20
H00050,C003,ST01,I03,2026-05-11,22,Completed,1.0,4.0,Urban,226,20
H00592,C030,ST01,I12,2026-05-15,22,Completed,1.0,3.0,Rural,133,20
H01777,C089,ST03,I17,2026-05-25,25,No eligible respondent after 3 visits,,,Urban,146,20
H00863,C044,ST02,I08,2026-05-18,23,Completed,4.0,3.0,Urban,131,20
H01202,C061,ST03,I07,2026-05-21,5,Completed,2.0,1.0,Urban,432,20
H00324,C017,ST01,I17,2026-05-13,23,Completed,1.0,1.0,Rural,90,20
H01491,C075,ST03,I03,2026-05-23,23,Refused,,,Rural,153,20
H00653,C033,ST02,I15,2026-05-16,19,Completed,2.0,3.0,Rural,81,20
H00909,C046,ST02,I10,2026-05-18,24,Completed,0.0,3.0,Rural,129,20
H00674,C034,ST02,I16,2026-05-16,21,Completed,0.0,1.0,Rural,79,20
H00263,C014,ST01,I07,2026-05-13,3,Completed,3.0,5.0,Urban,119,20
H00406,C021,ST01,I07,2026-05-14,6,Completed,1.0,3.0,Rural,58,20
H00927,C047,ST02,I11,2026-05-18,21,Completed,1.0,4.0,Urban,230,20
H01694,C085,ST03,I13,2026-05-25,15,Vacant dwelling,,,Urban,121,20
H00029,C002,ST01,I02,2026-05-11,16,Completed,0.0,3.0,Rural,287,20
H01329,C067,ST03,I13,2026-05-22,26,Completed,3.0,5.0,Rural,136,20
H01336,C067,ST03,I13,2026-05-22,25,Completed,3.0,3.0,Rural,136,20
H00158,C008,ST01,I08,2026-05-12,17,Completed,2.0,1.0,Rural,242,20
H01114,C056,ST02,I02,2026-05-20,12,Completed,2.0,1.0,Urban,46,20
H00836,C042,ST02,I06,2026-05-17,23,Vacant dwelling,,,Rural,123,20
H00621,C032,ST02,I14,2026-05-16,17,Completed,3.0,4.0,Rural,68,20
H01530,C077,ST03,I05,2026-05-23,7,Refused,,,Urban,334,20
H00086,C005,ST01,I05,2026-05-11,31,Completed,2.0,5.0,Rural,178,20
H00887,C045,ST02,I09,2026-05-18,9,No eligible respondent after 3 visits,,,Rural,336,20
H01447,C073,ST03,I01,2026-05-23,22,Completed,1.0,4.0,Rural,14,20
H01155,C058,ST02,I04,2026-05-20,16,Vacant dwelling,,,Rural,380,20
H00081,C005,ST01,I05,2026-05-11,11,Completed,2.0,2.0,Rural,178,20
H00216,C011,ST01,I11,2026-05-12,17,Completed,1.0,4.0,Urban,127,20
H00419,C021,ST01,I07,2026-05-14,5,Completed,4.0,4.0,Rural,58,20
H01289,C065,ST03,I11,2026-05-21,7,No eligible respondent after 3 visits,,,Urban,521,20
H01437,C072,ST03,I18,2026-05-22,16,Completed,1.0,1.0,Rural,98,20
H00837,C042,ST02,I06,2026-05-17,18,Completed,1.0,2.0,Rural,123,20
H01476,C074,ST03,I02,2026-05-23,20,Completed,2.0,2.0,Rural,86,20
H00949,C048,ST02,I12,2026-05-18,7,Completed,2.0,1.0,Rural,229,20
H01427,C072,ST03,I18,2026-05-22,28,No eligible respondent after 3 visits,,,Rural,98,20
H00237,C012,ST01,I12,2026-05-12,14,Completed,2.0,4.0,Urban,273,20
H00843,C043,ST02,I07,2026-05-18,2,Completed,4.0,4.0,Rural,128,20
H01662,C084,ST03,I12,2026-05-24,18,Completed,1.0,5.0,Rural,678,20
H00467,C024,ST01,I06,2026-05-14,10,Completed,1.0,1.0,Urban,189,20
H00827,C042,ST02,I06,2026-05-17,15,Completed,0.0,2.0,Rural,123,20
H01189,C060,ST02,I06,2026-05-20,23,Completed,0.0,3.0,Urban,183,20
H00892,C045,ST02,I09,2026-05-18,28,Completed,3.0,5.0,Rural,336,20
H00905,C046,ST02,I10,2026-05-18,19,No eligible respondent after 3 visits,,,Rural,129,20
H00162,C009,ST01,I09,2026-05-12,15,Completed,2.0,2.0,Rural,126,20
H00701,C036,ST02,I18,2026-05-16,21,Completed,1.0,5.0,Urban,262,20
H01315,C066,ST03,I12,2026-05-21,20,Vacant dwelling,,,Urban,211,20
H00253,C013,ST01,I13,2026-05-13,12,Completed,0.0,3.0,Urban,196,20
H01511,C076,ST03,I04,2026-05-23,23,Completed,1.0,1.0,Urban,168,20
H00273,C014,ST01,I07,2026-05-13,5,Completed,0.0,3.0,Urban,119,20
H01078,C054,ST02,I18,2026-05-19,26,Completed,0.0,2.0,Rural,88,20
H01264,C064,ST03,I10,2026-05-21,21,Completed,1.0,1.0,Rural,260,20
H00738,C037,ST02,I01,2026-05-17,13,Completed,3.0,1.0,Urban,222,20
H01599,C080,ST03,I08,2026-05-24,21,Completed,2.0,4.0,Rural,139,20
H00339,C017,ST01,I17,2026-05-13,18,Completed,3.0,1.0,Rural,90,20
H00101,C006,ST01,I06,2026-05-11,20,Completed,2.0,4.0,Rural,177,20
H00353,C018,ST01,I18,2026-05-13,30,Completed,0.0,3.0,Rural,159,20
H00755,C038,ST02,I02,2026-05-17,33,Refused,,,Rural,207,20
H00715,C036,ST02,I18,2026-05-16,24,Completed,1.0,4.0,Urban,262,20
H01403,C071,ST03,I17,2026-05-22,13,Vacant dwelling,,,Rural,239,20
H00874,C044,ST02,I08,2026-05-18,25,Completed,2.0,3.0,Urban,131,20
H01313,C066,ST03,I12,2026-05-21,22,Completed,0.0,2.0,Urban,211,20
H01462,C074,ST03,I02,2026-05-23,13,Completed,1.0,4.0,Rural,86,20
H00844,C043,ST02,I07,2026-05-18,5,Completed,1.0,2.0,Rural,128,20
H01112,C056,ST02,I02,2026-05-20,17,Completed,3.0,2.0,Urban,46,20
H01267,C064,ST03,I10,2026-05-21,37,Completed,4.0,4.0,Rural,260,20
H01754,C088,ST03,I16,2026-05-25,17,Completed,3.0,4.0,Rural,55,20
H00338,C017,ST01,I17,2026-05-13,24,Completed,1.0,1.0,Rural,90,20
H00106,C006,ST01,I06,2026-05-11,19,No eligible respondent after 3 visits,,,Rural,177,20
H01687,C085,ST03,I13,2026-05-25,17,Completed,2.0,4.0,Urban,121,20
H00438,C022,ST01,I04,2026-05-14,21,No eligible respondent after 3 visits,,,Urban,197,20
H01695,C085,ST03,I13,2026-05-25,21,No eligible respondent after 3 visits,,,Urban,121,20
H01725,C087,ST03,I15,2026-05-25,27,Completed,0.0,2.0,Urban,229,20
H01362,C069,ST03,I15,2026-05-22,31,Completed,1.0,2.0,Rural,386,20
H00948,C048,ST02,I12,2026-05-18,29,Completed,1.0,5.0,Rural,229,20
H00847,C043,ST02,I07,2026-05-18,4,Completed,0.0,4.0,Rural,128,20
H01332,C067,ST03,I13,2026-05-22,15,Completed,1.0,4.0,Rural,136,20
H01471,C074,ST03,I02,2026-05-23,25,Completed,2.0,1.0,Rural,86,20
H00545,C028,ST01,I10,2026-05-15,14,Completed,3.0,1.0,Rural,119,20
H01728,C087,ST03,I15,2026-05-25,23,Completed,2.0,1.0,Urban,229,20
H01566,C079,ST03,I07,2026-05-24,2,Completed,1.0,1.0,Rural,161,20
H01685,C085,ST03,I13,2026-05-25,31,Completed,3.0,5.0,Urban,121,20
H00061,C004,ST01,I04,2026-05-11,23,Completed,1.0,3.0,Urban,291,20
H01527,C077,ST03,I05,2026-05-23,29,Completed,0.0,5.0,Urban,334,20
H00604,C031,ST02,I13,2026-05-16,21,Vacant dwelling,,,Rural,160,20
H00262,C014,ST01,I07,2026-05-13,2,Completed,2.0,4.0,Urban,119,20
H00793,C040,ST02,I04,2026-05-17,24,Refused,,,Urban,181,20
H01467,C074,ST03,I02,2026-05-23,27,Completed,2.0,2.0,Rural,86,20
H00460,C023,ST01,I05,2026-05-14,20,Completed,1.0,3.0,Rural,151,20
