ward_code,ward_name,lga_code,lga_name,total_population,population_under5,population_source
W0026,Adenutu,LGA015,Banluta,28518.0,4669.0,Projected 2026 from 2006 census
W0027,Irobade,LGA015,Banluta,15603.0,2363.0,Projected 2026 from 2006 census
W0034,Dutkoshi,LGA015,Banluta,21796.0,3203.0,Projected 2026 from 2006 census
W0049,Nastili,LGA035,Enumade-West,23744.0,3918.0,Projected 2026 from 2006 census
W0051,Okederi,LGA035,Enumade-West,67931.0,10620.0,Projected 2026 from 2006 census
W0065,Wurlawo,LGA035,Enumade-West,32751.0,5053.0,Projected 2026 from 2006 census
W0068,Hanzami,LGA035,Enumade-West,39282.0,6477.0,Projected 2026 from 2006 census
W0077,Hanbena,LGA035,Enumade-West,31884.0,5339.0,Projected 2026 from 2006 census
W0081,Umutiri,LGA035,Enumade-West,18226.0,3180.0,Gridded population estimate 2024
W0128,Irodefa,LGA112,Yobkosa-South,196742.0,32527.0,Projected 2026 from 2006 census
W0134,Zammiwa,LGA112,Yobkosa-South,133322.0,22069.0,Projected 2026 from 2006 census
W0152,Iroketu,LGA112,Yobkosa-South,47082.0,7470.0,Projected 2026 from 2006 census
W0157,Zamngono,LGA112,Yobkosa-South,53970.0,9176.0,Projected 2026 from 2006 census
W0185,Ekezali,LGA112,Yobkosa-South,60262.0,9549.0,Gridded population estimate 2024
W0239,Daizaru,LGA008,Agbmita,45948.0,7423.0,Gridded population estimate 2024
W0257,Kadbetu,LGA008,Agbmita,43337.0,6303.0,Projected 2026 from 2006 census
W0258,Agbratu,LGA008,Agbmita,54474.0,8358.0,Projected 2026 from 2006 census
W0261,Uzowana,LGA008,Agbmita,133916.0,23796.0,Gridded population estimate 2024
W0275,Tivlawa,LGA008,Agbmita,15316.0,2809.0,Projected 2026 from 2006 census
W0280,Gwoyota,LGA008,Agbmita,48785.0,8597.0,Projected 2026 from 2006 census
W0282,Enunayi,LGA008,Agbmita,98702.0,17568.0,Gridded population estimate 2024
W0295,Dainani,LGA008,Agbmita,44974.0,6717.0,Projected 2026 from 2006 census
W0189,Katlano,LGA070,Malmaba,209177.0,30640.0,Gridded population estimate 2024
W0208,Kukyoba,LGA070,Malmaba,71525.0,12802.0,Projected 2026 from 2006 census
W0212,Wurngowo,LGA070,Malmaba,115247.0,16782.0,Projected 2026 from 2006 census
W0216,Jossafa,LGA070,Malmaba,95712.0,17461.0,Gridded population estimate 2024
W0240,Daiyole,LGA070,Malmaba,88866.0,15662.0,Gridded population estimate 2024
W0184,Riysafa,LGA091,Supyoshi-East,145691.0,26731.0,Gridded population estimate 2024
W0247,Daisale,LGA091,Supyoshi-East,54735.0,9229.0,Projected 2026 from 2006 census
W0249,Suplali,LGA091,Supyoshi-East,63555.0,11655.0,Gridded population estimate 2024
W0259,Adejisa,LGA091,Supyoshi-East,122654.0,20400.0,Gridded population estimate 2024
W0164,Loknuri,LGA044,Hanraja,109076.0,19063.0,Gridded population estimate 2024
W0170,Dutkota,LGA044,Hanraja,45234.0,6919.0,Gridded population estimate 2024
W0187,Kuktsini,LGA044,Hanraja,159257.0,27738.0,Gridded population estimate 2024
W0197,Tivjija,LGA044,Hanraja,70065.0,10763.0,Projected 2026 from 2006 census
W0191,Riyriru,LGA056,Josduri-South,43656.0,6349.0,Projected 2026 from 2006 census
W0214,Gwonade,LGA056,Josduri-South,322123.0,55173.0,Projected 2026 from 2006 census
W0225,Sokshayi,LGA056,Josduri-South,280263.0,41460.0,Gridded population estimate 2024
W0246,Tivbedu,LGA056,Josduri-South,14461.0,2586.0,Projected 2026 from 2006 census
W0243,Joskoko,LGA039,Gwodele-South,29574.0,4486.0,Gridded population estimate 2024
W0265,Josbesa,LGA039,Gwodele-South,79003.0,13541.0,Projected 2026 from 2006 census
W0266,Okeshali,LGA039,Gwodele-South,39626.0,6456.0,Gridded population estimate 2024
W0281,Tamngoba,LGA039,Gwodele-South,37386.0,6750.0,Gridded population estimate 2024
W0283,Ekelusa,LGA039,Gwodele-South,31819.0,5804.0,Projected 2026 from 2006 census
W0293,Olukoyi,LGA039,Gwodele-South,55159.0,10162.0,Projected 2026 from 2006 census
W0303,Daidushi,LGA039,Gwodele-South,50472.0,8119.0,Projected 2026 from 2006 census
W0310,Umubeli,LGA039,Gwodele-South,145272.0,24374.0,Projected 2026 from 2006 census
W0090,Bannayi,LGA118,Zamkeri,19538.0,3614.0,Gridded population estimate 2024
W0099,Dutmili,LGA118,Zamkeri,27064.0,4746.0,Gridded population estimate 2024
W0100,Umuwata,LGA118,Zamkeri,9017.0,1520.0,Gridded population estimate 2024
W0105,Uzoriyi,LGA118,Zamkeri,23926.0,4111.0,Projected 2026 from 2006 census
W0108,Shabeli,LGA118,Zamkeri,24409.0,3931.0,Projected 2026 from 2006 census
W0037,Ngeride,LGA055,Irosaja,20863.0,3348.0,Projected 2026 from 2006 census
W0073,Funzako,LGA055,Irosaja,7985.0,1360.0,Projected 2026 from 2006 census
W0074,Mallufa,LGA055,Irosaja,20101.0,3609.0,Projected 2026 from 2006 census
W0082,Yobkosa,LGA055,Irosaja,8548.0,1534.0,Gridded population estimate 2024
W0086,Maltsini,LGA055,Irosaja,6440.0,1032.0,Projected 2026 from 2006 census
W0101,Dairimi,LGA055,Irosaja,23866.0,3936.0,Projected 2026 from 2006 census
W0043,Tivlana,LGA064,Lokmata,49189.0,8230.0,Projected 2026 from 2006 census
W0063,Josmasa,LGA064,Lokmata,12840.0,2206.0,Gridded population estimate 2024
W0075,Okewako,LGA064,Lokmata,14993.0,2299.0,Projected 2026 from 2006 census
W0076,Sharama,LGA064,Lokmata,16099.0,2706.0,Projected 2026 from 2006 census
W0079,Uzotishi,LGA064,Lokmata,82183.0,14985.0,Gridded population estimate 2024
W0092,Gwomali,LGA031,Dutzama,50260.0,7901.0,Gridded population estimate 2024
W0093,Sharashi,LGA031,Dutzama,28647.0,4314.0,Projected 2026 from 2006 census
W0102,Soktiri,LGA031,Dutzama,35762.0,5287.0,Gridded population estimate 2024
W0114,Baulutu,LGA031,Dutzama,78092.0,11587.0,Gridded population estimate 2024
W0103,Kadjino,LGA037,Enutifa,18151.0,3167.0,Gridded population estimate 2024
W0135,Birnushi,LGA037,Enutifa,25287.0,3918.0,Projected 2026 from 2006 census
W0136,Oluketa,LGA037,Enutifa,23296.0,4163.0,Projected 2026 from 2006 census
W0155,Fundudu,LGA037,Enutifa,,,Projected 2026 from 2006 census
W0156,Kuktidu,LGA037,Enutifa,14559.0,2144.0,Gridded population estimate 2024
W0089,Naslayi,LGA062,Katrini,12625.0,1858.0,Gridded population estimate 2024
W0104,Irotsifa,LGA062,Katrini,12906.0,2081.0,Projected 2026 from 2006 census
W0109,Ekemari,LGA062,Katrini,15014.0,2544.0,Projected 2026 from 2006 census
W0121,Maldefa,LGA062,Katrini,39423.0,7093.0,Projected 2026 from 2006 census
W0009,Gwobele,LGA090,Supsama-South,22295.0,4039.0,Gridded population estimate 2024
W0038,Zammasa,LGA090,Supsama-South,11000.0,1920.0,Projected 2026 from 2006 census
W0047,Kuktsija,LGA090,Supsama-South,25296.0,4603.0,Projected 2026 from 2006 census
W0055,Tivjidu,LGA090,Supsama-South,19187.0,2852.0,Gridded population estimate 2024
W0059,Malrama,LGA090,Supsama-South,30305.0,5341.0,Gridded population estimate 2024
W0060,Tammari,LGA090,Supsama-South,14036.0,2490.0,Projected 2026 from 2006 census
W0141,Zamlani,LGA052,Iromashi,57075.0,8559.0,Gridded population estimate 2024
W0142,Ngengoyi,LGA052,Iromashi,33913.0,5390.0,Gridded population estimate 2024
W0147,Adenuru,LGA052,Iromashi,12873.0,2145.0,Projected 2026 from 2006 census
W0158,Tivzaba,LGA052,Iromashi,27855.0,4068.0,Projected 2026 from 2006 census
W0223,Lokngoko,LGA081,Oketsifa,17616.0,2961.0,Gridded population estimate 2024
W0224,Uzoluwo,LGA081,Oketsifa,19272.0,2941.0,Projected 2026 from 2006 census
W0236,Nasyowa,LGA081,Oketsifa,15838.0,2924.0,Projected 2026 from 2006 census
W0256,Kadmaja,LGA081,Oketsifa,27456.0,4236.0,Projected 2026 from 2006 census
W0264,Wurnude,LGA081,Oketsifa,52061.0,8286.0,Gridded population estimate 2024
W0267,Okekede,LGA081,Oketsifa,18762.0,3202.0,Projected 2026 from 2006 census
W0271,Oludude,LGA081,Oketsifa,9005.0,1362.0,Projected 2026 from 2006 census
W0119,Joszayi,LGA019,Baungoshi,72302.0,11359.0,Projected 2026 from 2006 census
W0125,Daishani,LGA019,Baungoshi,9610.0,1633.0,Gridded population estimate 2024
W0129,Ibashadu,LGA019,Baungoshi,7693.0,1266.0,Projected 2026 from 2006 census
W0167,Ekewafa,LGA009,Agbngoru,44270.0,6729.0,Projected 2026 from 2006 census
W0178,Daijiwa,LGA009,Agbngoru,10786.0,1957.0,Projected 2026 from 2006 census
W0194,Enurita,LGA009,Agbngoru,14421.0,2192.0,Gridded population estimate 2024
W0201,Ekekowo,LGA009,Agbngoru,15984.0,2377.0,Gridded population estimate 2024
W0207,Malkori,LGA009,Agbngoru,33013.0,5535.0,Gridded population estimate 2024
W0149,Katbeba,LGA025,Daishako,22749.0,4201.0,Gridded population estimate 2024
W0165,Funbaja,LGA025,Daishako,21338.0,3535.0,Projected 2026 from 2006 census
W0175,Zamnawo,LGA025,Daishako,21571.0,3190.0,Gridded population estimate 2024
W0188,Wurnuri,LGA025,Daishako,14815.0,2666.0,Gridded population estimate 2024
W0205,Okelaja,LGA025,Daishako,7963.0,1195.0,Gridded population estimate 2024
W0140,Uzosafa,LGA017,Banngono,25519.0,4665.0,Projected 2026 from 2006 census
W0163,Bankoyi,LGA017,Banngono,9901.0,1780.0,Gridded population estimate 2024
W0166,Agbkota,LGA017,Banngono,16828.0,2640.0,Projected 2026 from 2006 census
W0221,Kuktiwa,LGA101,Umumayi,10875.0,1908.0,Gridded population estimate 2024
W0245,Banlumi,LGA101,Umumayi,17915.0,3063.0,Gridded population estimate 2024
W0248,Nasnayi,LGA101,Umumayi,40002.0,6338.0,Gridded population estimate 2024
W0253,Olulusa,LGA101,Umumayi,8113.0,1231.0,Projected 2026 from 2006 census
W0273,Hanlushi,LGA101,Umumayi,7093.0,1168.0,Projected 2026 from 2006 census
W0279,Kuklasa,LGA101,Umumayi,57352.0,9814.0,Gridded population estimate 2024
W0179,Yelrari,LGA079,Ngetija,8241.0,1480.0,Gridded population estimate 2024
W0202,Sokmimi,LGA079,Ngetija,27319.0,4807.0,Gridded population estimate 2024
W0209,Ibatsiba,LGA079,Ngetija,17038.0,2981.0,Gridded population estimate 2024
W0213,Enuyona,LGA079,Ngetija,48741.0,7086.0,Projected 2026 from 2006 census
W0222,Yobbeko,LGA079,Ngetija,22786.0,3829.0,Gridded population estimate 2024
W0296,Umukeshi,LGA100,Tivsano-North,35733.0,5585.0,Projected 2026 from 2006 census
W0315,Ibazawa,LGA100,Tivsano-North,25866.0,4297.0,Projected 2026 from 2006 census
W0318,Olumaru,LGA100,Tivsano-North,27417.0,5009.0,Gridded population estimate 2024
W0323,Uzojili,LGA100,Tivsano-North,24087.0,4102.0,Gridded population estimate 2024
W0324,Shabafa,LGA100,Tivsano-North,12347.0,2159.0,Gridded population estimate 2024
W0325,Funbayi,LGA100,Tivsano-North,25799.0,3863.0,Projected 2026 from 2006 census
W0334,Riyzama,LGA100,Tivsano-North,28179.0,5032.0,Gridded population estimate 2024
W0341,Umunuta,LGA100,Tivsano-North,9135.0,1485.0,Gridded population estimate 2024
W0359,Bansawa,LGA100,Tivsano-North,27874.0,4691.0,Projected 2026 from 2006 census
W0242,Birngoko,LGA012,Agbtsiko,31901.0,5179.0,Gridded population estimate 2024
W0254,Eketiyi,LGA012,Agbtsiko,8363.0,1463.0,Gridded population estimate 2024
W0255,Kukbeja,LGA012,Agbtsiko,20506.0,3403.0,Projected 2026 from 2006 census
W0263,Zamlama,LGA012,Agbtsiko,30745.0,5289.0,Projected 2026 from 2006 census
W0294,Yeltiko,LGA012,Agbtsiko,44690.0,6712.0,Gridded population estimate 2024
W0241,Banluba,LGA021,Bauzani,12363.0,1821.0,Projected 2026 from 2006 census
W0244,Yobnadu,LGA021,Bauzani,39891.0,6419.0,Gridded population estimate 2024
W0272,Bannasa,LGA021,Bauzani,,,Projected 2026 from 2006 census
W0287,Banngotu,LGA021,Bauzani,18583.0,2855.0,Projected 2026 from 2006 census
W0298,Adetsile,LGA021,Bauzani,26085.0,4743.0,Projected 2026 from 2006 census
W0304,Nasbayi,LGA013,Agbzawa-South,12467.0,2031.0,Projected 2026 from 2006 census
W0317,Lokkoko,LGA013,Agbzawa-South,12865.0,2197.0,Projected 2026 from 2006 census
W0326,Supbena,LGA013,Agbzawa-South,64897.0,9417.0,Projected 2026 from 2006 census
W0332,Ibarima,LGA013,Agbzawa-South,5481.0,873.0,Gridded population estimate 2024
W0340,Ekengomi,LGA013,Agbzawa-South,17469.0,2663.0,Projected 2026 from 2006 census
W0348,Kukmatu,LGA045,Hansaba,24631.0,4308.0,Projected 2026 from 2006 census
W0366,Ngebana,LGA045,Hansaba,9780.0,1757.0,Projected 2026 from 2006 census
W0379,Birnuta,LGA045,Hansaba,22064.0,3415.0,Projected 2026 from 2006 census
W0385,Duttiri,LGA045,Hansaba,41492.0,7184.0,Projected 2026 from 2006 census
W0386,Birngowa,LGA045,Hansaba,14935.0,2697.0,Projected 2026 from 2006 census
W0362,Ekebewa,LGA103,Uzoberi,15624.0,2710.0,Projected 2026 from 2006 census
W0374,Duttsita,LGA103,Uzoberi,15589.0,2528.0,Projected 2026 from 2006 census
W0376,Yelwana,LGA103,Uzoberi,,,Projected 2026 from 2006 census
W0401,Supmita,LGA103,Uzoberi,15361.0,2531.0,Projected 2026 from 2006 census
W0407,Yelnuba,LGA103,Uzoberi,22891.0,3582.0,Projected 2026 from 2006 census
W0408,Okedesa,LGA103,Uzoberi,9769.0,1615.0,Projected 2026 from 2006 census
W0260,Banmiru,LGA014,Bandede-North,23563.0,4238.0,Projected 2026 from 2006 census
W0274,Joskodu,LGA014,Bandede-North,18151.0,2747.0,Gridded population estimate 2024
W0289,Tivbata,LGA014,Bandede-North,11737.0,1943.0,Projected 2026 from 2006 census
W0200,Jostiko,LGA068,Malbawo-Central,5416.0,870.0,Projected 2026 from 2006 census
W0218,Ekebemi,LGA068,Malbawo-Central,17471.0,2847.0,Gridded population estimate 2024
W0233,Agbderu,LGA068,Malbawo-Central,7974.0,1468.0,Projected 2026 from 2006 census
W0234,Hanbafa,LGA068,Malbawo-Central,30099.0,4494.0,Gridded population estimate 2024
W0195,Sokdushi,LGA089,Soktimi,30349.0,5243.0,Gridded population estimate 2024
W0206,Birtima,LGA089,Soktimi,32564.0,5971.0,Projected 2026 from 2006 census
W0227,Kukngowa,LGA089,Soktimi,14415.0,2543.0,Gridded population estimate 2024
W0235,Olukoko,LGA089,Soktimi,4374.0,786.0,Gridded population estimate 2024
W0120,Ngemima,LGA048,Ibajija-South,41942.0,6135.0,Projected 2026 from 2006 census
W0133,Oluyoko,LGA048,Ibajija-South,15374.0,2340.0,Projected 2026 from 2006 census
W0148,Loksafa,LGA048,Ibajija-South,8309.0,1490.0,Projected 2026 from 2006 census
W0159,Dutsaba,LGA048,Ibajija-South,12352.0,1824.0,Projected 2026 from 2006 census
W0162,Gwolude,LGA048,Ibajija-South,56819.0,9726.0,Projected 2026 from 2006 census
W0172,Yelwari,LGA030,Dutwano,32472.0,5890.0,Projected 2026 from 2006 census
W0174,Ademano,LGA030,Dutwano,6556.0,1094.0,Gridded population estimate 2024
W0186,Adewadu,LGA030,Dutwano,8052.0,1257.0,Gridded population estimate 2024
W0203,Fundeko,LGA030,Dutwano,40619.0,6982.0,Projected 2026 from 2006 census
W0215,Josmita,LGA030,Dutwano,20812.0,3542.0,Projected 2026 from 2006 census
W0226,Ngeyomi,LGA030,Dutwano,,,Projected 2026 from 2006 census
W0229,Soknari,LGA030,Dutwano,33580.0,6063.0,Projected 2026 from 2006 census
W0238,Ngemafa,LGA030,Dutwano,,,Projected 2026 from 2006 census
W0230,Wurjino,LGA054,Irongori,21536.0,3377.0,Gridded population estimate 2024
W0231,Funmidu,LGA054,Irongori,53205.0,8132.0,Gridded population estimate 2024
W0232,Tivzana,LGA054,Irongori,15635.0,2575.0,Gridded population estimate 2024
W0237,Soksani,LGA054,Irongori,37864.0,5643.0,Projected 2026 from 2006 census
W0251,Yelzafa,LGA054,Irongori,64890.0,9790.0,Gridded population estimate 2024
W0262,Banshako,LGA054,Irongori,21735.0,3996.0,Projected 2026 from 2006 census
W0146,Riyjiwo,LGA080,Okerano-Central,43412.0,7310.0,Projected 2026 from 2006 census
W0153,Eketsishi,LGA080,Okerano-Central,37573.0,6676.0,Projected 2026 from 2006 census
W0173,Enuzale,LGA080,Okerano-Central,24688.0,3756.0,Projected 2026 from 2006 census
W0182,Ekesana,LGA080,Okerano-Central,3372.0,592.0,Gridded population estimate 2024
W0144,Hanlashi,LGA007,Agblasa,38731.0,6298.0,Projected 2026 from 2006 census
W0160,Katlatu,LGA007,Agblasa,37198.0,6854.0,Gridded population estimate 2024
W0183,Daikema,LGA007,Agblasa,22175.0,3692.0,Projected 2026 from 2006 census
W0192,Duttsija,LGA007,Agblasa,26154.0,4454.0,Gridded population estimate 2024
W0168,Shatsiru,LGA053,Ironama,30322.0,5296.0,Projected 2026 from 2006 census
W0190,Katduna,LGA053,Ironama,19158.0,3251.0,Projected 2026 from 2006 census
W0199,Ekekena,LGA053,Ironama,58641.0,9530.0,Projected 2026 from 2006 census
W0204,Josnata,LGA053,Ironama,17791.0,2921.0,Projected 2026 from 2006 census
W0210,Riyshawa,LGA053,Ironama,19364.0,2855.0,Projected 2026 from 2006 census
W0220,Shabani,LGA053,Ironama,17795.0,2597.0,Projected 2026 from 2006 census
W0211,Daideno,LGA096,Tivbani,15540.0,2504.0,Projected 2026 from 2006 census
W0217,Enurawo,LGA096,Tivbani,28796.0,4281.0,Projected 2026 from 2006 census
W0219,Iroshaba,LGA096,Tivbani,10791.0,1931.0,Projected 2026 from 2006 census
W0091,Yobzade,LGA024,Daidefa,37811.0,6364.0,Gridded population estimate 2024
W0106,Supsani,LGA024,Daidefa,33198.0,5916.0,Projected 2026 from 2006 census
W0118,Hanradu,LGA024,Daidefa,31076.0,5386.0,Projected 2026 from 2006 census
W0132,Ibangoja,LGA024,Daidefa,5079.0,776.0,Gridded population estimate 2024
W0145,Gwokemi,LGA024,Daidefa,,,Gridded population estimate 2024
W0321,Katriwa,LGA057,Joskeru,25144.0,4134.0,Projected 2026 from 2006 census
W0322,Hanluri,LGA057,Joskeru,46058.0,7796.0,Projected 2026 from 2006 census
W0336,Birmishi,LGA057,Joskeru,27622.0,4470.0,Gridded population estimate 2024
