facility_id,facility_name,facility_type,ward_name,lga_name,sen_district,state_name,ownership,longitude,latitude
HF00892,Yobludu Health Post,Health Post,Yeldena,Loksayi,Uzojina South,Uzojina State,Public,8.376408,9.003115
HF00611,Funnufa Health Post,Health Post,Josnata,Ironama,Tivbetu Central,Tivbetu State,Public,7.713948,10.9272
HF00268,Umuwama Health Post,Health Post,Enunayi,Agbmita,Agbzatu North,Agbzatu State,Private,8.235656,8.049994
HF00667,Soksharu Primary Health Centre,Primary Health Centre,Sokyowa,Hanjiko,Tivbetu South,Tivbetu State,Public,8.611593,10.999355
HF00557,Kuklawa Primary Health Centre,Primary Health Centre,Birtima,Soktimi,Tivbetu North,Tivbetu State,Private,7.585153,10.02703
HF00890,Irowaru Cottage Hospital,Cottage Hospital,Nasrari,Loksayi,Uzojina South,Uzojina State,Public,8.143249,8.751841
HF00762,Ibamano Health Post,Health Post,Riylale,Tamluni,Uzojina North,Uzojina State,Public,8.397973,7.799525
HF01107,Hanzano Health Post,Health Post,Agbdeni,Loknaba,Supwasa South,Supwasa State,Public,8.92082,11.504555
HF00856,Zamduru Primary Health Centre,Primary Health Centre,Wurtimi,Wurkota,Uzojina Central,Uzojina State,Public,8.980323,8.545614
HF00558,Zammashi Primary Health Centre,Primary Health Centre,Birtima,Soktimi,Tivbetu North,Tivbetu State,Public,7.570048,9.926803
HF00814,Yelmashi Primary Health Centre,Primary Health Centre,Daideli,Daishali-Central,Uzojina Central,Uzojina State,Public,9.13,8.13
HF00438,Joszano Health Post,Health Post,Daijiwa,Agbngoru,Agbzatu South,Agbzatu State,Public,7.398021,8.406092
HF00054,Uzowasa Health Post,Health Post,Wurjimi,Irolufa ,Kukrima North,Kukrima State,Public,6.110032,9.753453
HF00507,Yelrili Primary Health Centre,Primary Health Centre,Banluba,Bauzani ,Tivbetu North,Tivbetu State,Private,7.870121,10.361789
HF01185,Wurdude Cottage Hospital,Cottage Hospital,Iroyori,Yeltili,Agbkeko North,Agbkeko State,Faith-based,9.836989,8.910924
HF01076,Zamjile Primary Health Centre,Primary Health Centre,Uzojiri,Ekedeta-East,Supwasa South,Supwasa State,Private,9.287224,11.580015
HF00980,Katkona Health Post,Health Post,Sokdeba,Zambani,Supwasa Central,Supwasa State,Faith-based,,
HF00135,Enubaja Primary Health Centre,Primary Health Centre,Adetidu,Gwolama,Kukrima Central,Kukrima State,Public,6.727273,9.542573
HF01196,Maljini Primary Health Centre,Primary Health Centre,Kuknayi,Yeltili,Agbkeko North,Agbkeko State,Public,10.180412,9.060246
HF00521,Naslasa Primary Health Centre,Primary Health Centre,Supbena,Agbzawa-South,Tivbetu North,Tivbetu State,Public,8.360091,9.987065
HF00109,Supmino Primary Health Centre,Primary Health Centre,Katzale,Lokbaru ,Kukrima Central,Kukrima State,Public,6.640567,9.831372
HF00310,Wurnali Health Post,Health Post,Riyriru,Josduri-South,Agbzatu North,Agbzatu State,Public,,
HF00846,Ngeduli Primary Health Centre,Primary Health Centre,Gwoyowo,Adelaja-North,Uzojina Central,Uzojina State,Private,9.272512,8.539446
HF00517,Zamjino Primary Health Centre,Primary Health Centre,Nasbayi,Agbzawa-South,Tivbetu North,Tivbetu State,Public,8.206622,9.791996
HF00322,Kadkeni Primary Health Centre,Primary Health Centre,Okeshali,Gwodele-South,Agbzatu North,Agbzatu State,Public,7.959599,7.670939
HF00123,Tamlatu Health Post,Health Post,Wurdesa,Agbjide,Kukrima Central,Kukrima State,Public,6.821893,9.21825
HF01155,Ngeshashi Primary Health Centre,Primary Health Centre,Tivdewo,Jostile,Agbkeko North,Agbkeko State,Public,9.908889,9.521433
HF00454,Irosashi Cottage Hospital,Cottage Hospital,Okelaja,DAISHAKO,Agbzatu South,Agbzatu State,Public,7.583417,8.784474
HF00804,Hankoyi Cottage Hospital,Cottage Hospital,Uzoyodu,Tamwata-South,Uzojina Central,Uzojina State,Public,10.187914,8.448977
HF00516,Ekenufa Primary Health Centre,Primary Health Centre,Nasbayi,Agbzawa-South,Tivbetu North,Tivbetu State,Public,8.216741,9.757699
HF00589,Adedeta Health Post,Health Post,Yelzafa,Irongori,Tivbetu Central,Tivbetu State,Private,7.947185,10.823491
HF00058,Yobyole Comprehensive Health Centre,Comprehensive Health Centre,Kuknuno,Irolufa,Kukrima North,Kukrima State,Private,6.197444,10.015032
HF01154,Lokkeba Health Post,Health Post,Tivdewo,Jostile,Agbkeko North,Agbkeko State,Public,9.89696,9.515498
HF00167,Zamlawa Primary Health Centre,Primary Health Centre,Katwama,WURMASHI,Kukrima Central,Kukrima State,Public,7.411483,9.912909
HF00926,Uzoyori Primary Health Centre,Primary Health Centre,Malshana,Zamberi-North ,Uzojina South,Uzojina State,Public,8.501021,8.659091
HF00604,Oketsima Cottage Hospital,Cottage Hospital,Shatsiru,Ironama ,Tivbetu Central,Tivbetu State,Public,7.371901,10.666623
HF00285,Josrashi Primary Health Centre,Primary Health Centre,Daiyole,Malmaba,Agbzatu North,Agbzatu State,Public,7.768586,7.92846
HF00637,Zamduko Health Post,Health Post,Wurzafa,Joskeru,Tivbetu South,Tivbetu State,Public,8.683102,11.313295
HF01021,Katkole Primary Health Centre,Primary Health Centre,Kukngole,Funkedu ,Supwasa Central,Supwasa State,Public,10.252351,11.264894
HF01182,Yelbele Health Post,Health Post,Maljini,Maljiwo,Agbkeko North,Agbkeko State,Public,9.643656,9.264295
HF00325,Zammano Health Post,Health Post,Tamngoba,Gwodele South,Agbzatu North,Agbzatu State,Faith-based,8.059011,7.773748
HF00110,Yelshasa Cottage Hospital,Cottage Hospital,Ekebako,Lokbaru ,Kukrima Central,Kukrima State,Public,6.969075,9.906772
HF01031,Ngenaba Primary Health Centre,Primary Health Centre,Gwonashi,Josmiba,Supwasa Central,Supwasa State,Public,10.480188,10.41212
HF00132,Ekemaba Primary Health Centre,Primary Health Centre,Funtsiwa,Tambemi,Kukrima Central,Kukrima State,Public,7.162416,9.831472
HF00618,Funnuma Health Post,Health Post,Daideno,Tivbani,Tivbetu Central,Tivbetu State,Public,7.536192,10.55022
HF00816,Uzolude Comprehensive Health Centre,Comprehensive Health Centre,Daideli,Daishali-Central,Uzojina Central,Uzojina State,Public,9.012789,8.199683
HF00040,Agbritu Health Post,Health Post,Uzobele,Riylude North,Kukrima North,Kukrima State,Public,6.511429,9.595088
HF00760,Ngebefa Primary Health Centre,Primary Health Centre,Riylale,Tamluni LGA,Uzojina North,Uzojina State,Public,8.416999,7.909065
HF01239,Iromifa General Hospital,General Hospital,Irowani,Hanjile,Agbkeko Central,Agbkeko State,Public,9.834394,9.623763
HF00060,Ekejiru Cottage Hospital,Cottage Hospital,Nasnuri,Irolufa,Kukrima North,Kukrima State,Public,6.192201,9.933669
HF00377,Kukshatu Primary Health Centre,Primary Health Centre,Gwomali,Dutzama,Agbzatu Central,Agbzatu State,Public,6.944508,7.725776
HF00792,Umumifa Primary Health Centre,Primary Health Centre,Gwobako,Nassako-Central,Uzojina North,Uzojina State,Public,8.85898,7.509353
HF00954,Irongode Primary Health Centre,Primary Health Centre,Riynuna,NASRIFA,Supwasa North,Supwasa State,Public,"9,066455","10,724456"
HF00412,Okenadu Primary Health Centre,Primary Health Centre,Zamlani,Iromashi,Agbzatu Central,Agbzatu State,Private,7.093594,8.373692
HF00878,Baudemi Health Post,Health Post,Wurlutu,OlubaniSouth,Uzojina South,Uzojina State,Public,8.447777,8.411938
HF01007,Wurkomi Health Post,Health Post,Irozari,Funkedu,Supwasa Central,Supwasa State,Public,10.260593,11.483907
HF00612,Agbnuni Comprehensive Health Centre,Comprehensive Health Centre,Riyshawa,Ironama LGA,Tivbetu Central,Tivbetu State,Public,7.513699,10.715796
HF00593,Katnale Health Post,Health Post,Banshako,Irongori,Tivbetu Central,Tivbetu State,Public,7.939329,10.562777
HF00327,Ibatiwo Health Post,Health Post,Tamngoba,GWODELE-SOUTH,Agbzatu North,Agbzatu State,Public,8.047543,7.748601
HF00474,Okemama Primary Health Centre,Primary Health Centre,Enuyona,Ngetija,Agbzatu South,Agbzatu State,Public,7.666383,9.058666
HF00171,Jossaja Primary Health Centre,Primary Health Centre,Riysano,Zamtsiru,Kukrima South,Kukrima State,Public,6.793008,9.99931
HF00272,Eketide Health Post,Health Post,Katlano,Malmaba,Agbzatu North,Agbzatu State,Public,7.495428,7.999495
HF00353,Katbako Primary Health Centre,Primary Health Centre,Uzoriyi,Zamkeri,Agbzatu Central,Agbzatu State,Public,6.791232,8.635882
HF00603,Irojini Primary Health Centre,Primary Health Centre,Shatsiru,Ironama,Tivbetu Central,Tivbetu State,Public,7.444372,10.65135
HF00146,Okemile Health Post,Health Post,Banrija,Wurmashi ,Kukrima Central,Kukrima State,Public,7.220868,10.195936
HF01189,Riymaja Primary Health Centre,Primary Health Centre,Nasmitu,YELTILI,Agbkeko North,Agbkeko State,Public,9.889611,8.750201
HF00872,Adenana Health Post,Health Post,Kukmiyi,Olubani-South,Uzojina South,Uzojina State,Private,8.11253,8.376772
HF00590,Birtisa Primary Health Centre,Primary Health Centre,Yelzafa,Irongori LGA,Tivbetu Central,Tivbetu State,Public,7.910697,10.762373
HF01233,Funmima Primary Health Centre,Primary Health Centre,Umuwari,Hanjile,Agbkeko Central,Agbkeko State,Public,9.707219,9.752334
HF01184,Daideko Primary Health Centre,Primary Health Centre,Oluwaba,Maljiwo,Agbkeko North,Agbkeko State,Public,9.648737,9.487315
HF00696,Funnuwa Primary Health Centre,Primary Health Centre,Dutrama,Adekowo,Tivbetu South,Tivbetu State,Public,8.457193,11.509368
HF00078,Wursawo Health Post,Health Post,Fundeyi,Ibabani,Kukrima North,Kukrima State,Public,6.600693,9.210301
HF00430,Okenuwa Comprehensive Health Centre,Comprehensive Health Centre,Oludude,Oketsifa,Agbzatu South,Agbzatu State,Public,7.978672,8.463104
HF00232,Irowadu Health Post,Health Post,Hanzami,Enumade-West,Kukrima South,Kukrima State,Public,6.669143,10.501108
HF00280,Ekengowa Primary Health Centre,Primary Health Centre,Jossafa,Malmaba,Agbzatu North,Agbzatu State,Private,7.661241,8.044617
HF00607,Malngoma Primary Health Centre,Primary Health Centre,Ekekena,Ironama LGA,Tivbetu Central,Tivbetu State,Public,7.489896,10.816027
HF00992,Okeyoli Primary Health Centre,Primary Health Centre,Dailaba,Zambani,Supwasa Central,Supwasa State,Private,10.124003,11.206534
HF01291,Kadduma Health Post,Health Post,Dairiwo,Enumija,Agbkeko South,Agbkeko State,Public,10.596473,10.087195
HF01278,Dutkemi Health Post,Health Post,Uzodushi,Nasnadu,Agbkeko South,Agbkeko State,Public,9.931932,10.015632
HF00881,Birngode Primary Health Centre,Primary Health Centre,Suplashi,Uzorisa,Uzojina South,Uzojina State,Faith-based,8.328645,9.375223
HF00182,Supmimi Health Post,Health Post,Baujimi,DAIZADE,Kukrima South,Kukrima State,Public,6.388055,10.269453
HF01115,Lokkesa Health Post,Health Post,Ekenuno,Oluyofa,Supwasa South,Supwasa State,Public,9.269803,11.281354
HF00385,Malmija Health Post,Health Post,Kadjino,Enutifa,Agbzatu Central,Agbzatu State,Public,6.981476,8.01738
HF01101,Birnuba Primary Health Centre,Primary Health Centre,Katluko,Baumiru,Supwasa South,Supwasa State,Public,9.068453,11.071724
HF01049,Kukrako Primary Health Centre,Primary Health Centre,Hanbeko,Katdudu,Supwasa Central,Supwasa State,Public,9.91726,10.623578
HF00259,Tamdena Primary Health Centre,Primary Health Centre,Agbratu,Agbmita,Agbzatu North,Agbzatu State,Private,7.846695,7.87948
HF01078,Ibalude Health Post,Health Post,Tivnuta,Ekedeta-East,Supwasa South,Supwasa State,Private,9.41374,11.561336
HF00247,Irosano Health Post,Health Post,Ekezali,Yobkosa-South,Agbzatu North,Agbzatu State,Public,7.477367,7.60339
HF01179,Adebewo Comprehensive Health Centre,Comprehensive Health Centre,Hanlasa,Maljiwo,Agbkeko North,Agbkeko State,Public,9.473237,9.069337
HF01289,Olumino Cottage Hospital,Cottage Hospital,Dairiwo,Enumija,Agbkeko South,Agbkeko State,Public,10.661686,10.066308
HF00061,Ekejiba Health Post,Health Post,Wurshaba,Shajima LGA,Kukrima North,Kukrima State,Public,5.93974,9.277555
HF00869,Ngewafa Health Post,Health Post,Daikowa,Tivngoba,Uzojina South,Uzojina State,Private,9.0683,9.029568
HF00858,Okenatu Health Post,Health Post,Adebale,Wurkota,Uzojina Central,Uzojina State,Public,9.230096,8.697439
HF00709,Josberi Primary Health Centre,Primary Health Centre,Katdeno,Tivrafa-West,Uzojina North,Uzojina State,Public,"9°05'15.7""E","7°51'42.8""N"
HF00768,Ekeluno Primary Health Centre,Primary Health Centre,Uzosawo,Tamluni,Uzojina North,Uzojina State,Public,8.537452,7.929621
HF00007,Dutwawa Health Post,Health Post,Dutkoko,Maltsimi,Kukrima North,Kukrima State,Public,6.313554,9.211712
HF00224,Birmani Health Post,Health Post,Okederi,ENUMADE-WEST,Kukrima South,Kukrima State,Public,6.609607,10.159319
HF00324,Soklale Health Post,Health Post,Okeshali,Gwodele-South,Agbzatu North,Agbzatu State,Private,7.964362,7.639968
HF00446,Joskono General Hospital,General Hospital,Katbeba,Daishako,Agbzatu South,Agbzatu State,Public,7.25048,8.964745
HF00223,Riytifa Primary Health Centre,Primary Health Centre,Nastili,EnumadeWest,Kukrima South,Kukrima State,Public,6.489099,10.40638
HF00346,Ekebano Primary Health Centre,Primary Health Centre,Dutmili,Zamkeri ,Agbzatu Central,Agbzatu State,Public,6.833786,8.72476
HF01214,Tamnutu Primary Health Centre,Primary Health Centre,Daizayi,Yobrifa-West,Agbkeko Central,Agbkeko State,Public,8.927396,9.808456
HF00426,Nasridu Health Post,Health Post,Okekede,Oketsifa,Agbzatu South,Agbzatu State,Private,8.00421,8.651609
HF00338,Ibanaru Health Post,Health Post,Umubeli,Gwodele South,Agbzatu North,Agbzatu State,Public,8.176598,7.734437
HF01046,Tivzami Health Post,Health Post,Funnuta,Josmiba,Supwasa Central,Supwasa State,Public,10.726164,10.437667
HF01164,Funngori Primary Health Centre,Primary Health Centre,Hantsiyi,Jostile,Agbkeko North,Agbkeko State,Public,10.115462,9.28227
HF00434,Ekeshami Health Post,Health Post,Joszayi,Baungoshi,Agbzatu South,Agbzatu State,Private,7.083152,8.802791
HF00924,Birnadu Health Post,Health Post,Nastino,ZAMBERI-NORTH,Uzojina South,Uzojina State,Public,,
HF00149,Funtiko Primary Health Centre,Primary Health Centre,Katshale,WURMASHI,Kukrima Central,Kukrima State,Public,7.086451,10.05271
HF00575,Agbmiwo Cottage Hospital,Cottage Hospital,Adewadu,Dutwano LGA,Tivbetu Central,Tivbetu State,Public,7.646875,11.256142
HF00238,Tamrifa Comprehensive Health Centre,Comprehensive Health Centre,Zammiwa,Yobkosa-South,Agbzatu North,Agbzatu State,Public,7.113152,7.718199
HF01001,Tambeba Comprehensive Health Centre,Comprehensive Health Centre,Zamkoja,Bautiru-West LGA,Supwasa Central,Supwasa State,Public,10.550529,10.988309
HF00089,Tamngoko Primary Health Centre,Primary Health Centre,Ekerini,Yelkefa,Kukrima Central,Kukrima State,Public,7.273442,9.610453
HF01088,Malyowa Comprehensive Health Centre,Comprehensive Health Centre,Baubama,Ekedeta-East,Supwasa South,Supwasa State,Public,9.494861,11.60626
HF00936,Enulani Comprehensive Health Centre,Comprehensive Health Centre,Josmatu,ZAMBERI-NORTH,Uzojina South,Uzojina State,Public,8.593943,8.710386
HF00680,Sokluko Health Post,Health Post,Kukrali,Olujiwa,Tivbetu South,Tivbetu State,Public,8.178418,11.053379
HF00427,Yelbena Primary Health Centre,Primary Health Centre,Okekede,Oketsifa,Agbzatu South,Agbzatu State,Private,7.909573,8.602078
HF00228,Ibajisa Health Post,Health Post,Wurlawo,Enumade-West,Kukrima South,Kukrima State,Public,6.596656,10.287104
HF00314,Okeshashi Primary Health Centre,Primary Health Centre,Gwonade,Josduri-South,Agbzatu North,Agbzatu State,Public,7.716855,7.619705
HF00410,Banshari Primary Health Centre,Primary Health Centre,Tammari,Supsama South,Agbzatu Central,Agbzatu State,Private,6.637405,8.27629
HF00046,Josdewa Primary Health Centre,Primary Health Centre,Tamyowa,Irolufa,Kukrima North,Kukrima State,Public,5.919656,9.891983
HF00553,Gwotsija General Hospital,General Hospital,Hanbafa,Malbawo-Central,Tivbetu North,Tivbetu State,Public,7.916049,9.535463
HF00472,Enuzami Health Post,Health Post,Enuyona,Ngetija LGA,Agbzatu South,Agbzatu State,Public,7.751864,8.988739
HF00864,Enungowo Health Post,Health Post,Kadbana,Tivngoba,Uzojina South,Uzojina State,Public,8.768377,8.778616
HF00750,Ibabewo Health Post,Health Post,Kuknadu,Nasyotu,Uzojina North,Uzojina State,Private,8.949302,7.995727
HF00706,Ngeshata Primary Health Centre,Primary Health Centre,Ngeluli,Adekowo,Tivbetu South,Tivbetu State,Private,,
HF00212,Shazata Primary Health Centre,Primary Health Centre,Kuktsino,Adenaja,Kukrima South,Kukrima State,Public,7.080229,10.451801
HF00733,Duttiwo Health Post,Health Post,Uzotsiru,Agbkotu-South,Uzojina North,Uzojina State,Public,8.371076,8.225309
HF00028,Gwoyodu Primary Health Centre,Primary Health Centre,Baukeshi,Riylude-North,Kukrima North,Kukrima State,Faith-based,6.265556,9.779254
HF01051,Tivbesa Comprehensive Health Centre,Comprehensive Health Centre,Bandema,Katdudu,Supwasa Central,Supwasa State,Public,10.163773,10.563865
HF00765,Lokmade Primary Health Centre,Primary Health Centre,Riylale,Tamluni,Uzojina North,Uzojina State,Public,8.380314,7.852321
HF00371,Yelkoru Primary Health Centre,Primary Health Centre,Uzotishi,Lokmata,Agbzatu Central,Agbzatu State,Public,6.740098,8.862194
HF01165,Wurduwo Cottage Hospital,Cottage Hospital,Riyjiyi,Jostile,Agbkeko North,Agbkeko State,Public,10.100384,9.588139
HF00975,Birwatu Health Post,Health Post,Okenuko,Wuryona,Supwasa North,Supwasa State,Public,9.900395,10.460292
HF01327,Okelani Cottage Hospital,Cottage Hospital,Yelshama,Gwodewo,Agbkeko South,Agbkeko State,Private,10.588857,9.841031
HF00752,Baubeno Primary Health Centre,Primary Health Centre,Kuknadu,Nasyotu,Uzojina North,Uzojina State,Public,8.906137,7.945131
HF00998,Shajiri Primary Health Centre,Primary Health Centre,Kukbeta,Bautiru-West,Supwasa Central,Supwasa State,Public,10.301712,10.82527
HF00931,Baukefa Health Post,Health Post,Tivtsisa,Zamberi-North,Uzojina South,Uzojina State,Public,8.529102,8.909557
HF00852,Dutlayi Comprehensive Health Centre,Comprehensive Health Centre,Loktsifa,Adelaja-North,Uzojina Central,Uzojina State,Public,9.565986,8.407596
HF900919,Shasayi PHC,Primary Health Centre,Josmako,Banluwo,Uzojina South,Uzojina State,Public,8.711253,8.537559
HF00112,Agbzari Primary Health Centre,Primary Health Centre,Supzaja,Lokbaru LGA,Kukrima Central,Kukrima State,Public,6.871133,10.009749
HF00841,Uzoshawo Primary Health Centre,Primary Health Centre,Agbzali,Dutkeni,Uzojina Central,Uzojina State,Private,9.991681,8.455646
HF00352,Baushaba Health Post,Health Post,Umuwata,Zamkeri,Agbzatu Central,Agbzatu State,Public,6.913406,8.966096
HF00991,Nasngoshi Primary Health Centre,Primary Health Centre,Dailaba,Zambani,Supwasa Central,Supwasa State,Public,,
HF00022,Iromari Primary Health Centre,Primary Health Centre,Funngoli,Uzoluni,Kukrima North,Kukrima State,Public,6.21987,9.058692
HF00357,Oluluri Health Post,Health Post,Funzako,Irosaja,Agbzatu Central,Agbzatu State,Public,6.758515,8.12586
HF00261,Ekekoru Primary Health Centre,Primary Health Centre,Uzowana,Agbmita,Agbzatu North,Agbzatu State,Public,8.026636,8.192502
HF00829,Wurduri Primary Health Centre,Primary Health Centre,Ngemili,Yeltsina,Uzojina Central,Uzojina State,Public,9.419292,8.688749
HF00006,Hanlayi Health Post,Health Post,Olumadu,Maltsimi,Kukrima North,Kukrima State,Public,6.157591,9.570943
HF00687,Shabade Primary Health Centre,Primary Health Centre,Yeldule,Nasdudu-North,Tivbetu South,Tivbetu State,Public,7.897815,11.565997
HF00181,Gwoyota Primary Health Centre,Primary Health Centre,Baujimi,Daizade LGA,Kukrima South,Kukrima State,Public,6.279453,10.260356
HF00140,Hansako Health Post,Health Post,Ekeluwa,Gwolama,Kukrima Central,Kukrima State,Public,6.97876,9.337325
HF00432,Shangowo Comprehensive Health Centre,Comprehensive Health Centre,Joszayi,BAUNGOSHI,Agbzatu South,Agbzatu State,Public,7.13934,8.866435
HF00702,Kukkole Health Post,Health Post,Sokshano,Adekowo,Tivbetu South,Tivbetu State,Public,8.687186,11.588935
HF01075,Josnuri Health Post,Health Post,Baurima,Okeyoru-South,Supwasa Central,Supwasa State,Public,10.050456,10.678583
HF00334,Lokshata Primary Health Centre,Primary Health Centre,Daidushi,Gwodele-South ,Agbzatu North,Agbzatu State,Public,8.202095,7.515021
HF00592,Shawale Primary Health Centre,Primary Health Centre,Banshako,Irongori,Tivbetu Central,Tivbetu State,Public,7.962429,10.63916
HF00101,Okezawo Primary Health Centre,Primary Health Centre,Gwosani,Yelkefa,Kukrima Central,Kukrima State,Public,7.493593,9.441952
HF01306,Kuksade Health Post,Health Post,Kadsade,Ngemidu,Agbkeko South,Agbkeko State,Private,10.376178,9.590761
HF00955,Kattishi Cottage Hospital,Cottage Hospital,Sokngono,Nasrifa,Supwasa North,Supwasa State,Faith-based,9.248863,10.8182
HF01100,Agbmafa Primary Health Centre,Primary Health Centre,Katluko,Baumiru,Supwasa South,Supwasa State,Private,9.014823,11.154474
HF01211,Kuktiru Health Post,Health Post,Ibayoma,Yobrifa-West,Agbkeko Central,Agbkeko State,Public,8.894472,9.63016
HF01240,Yellaja Comprehensive Health Centre,Comprehensive Health Centre,Irowani,Hanjile,Agbkeko Central,Agbkeko State,Public,9.881908,9.6406
HF00921,Uzowami Health Post,Health Post,Ekengoja,Banluwo,Uzojina South,Uzojina State,Public,8.831699,8.673921
HF00875,Zammiwa Health Post,Health Post,Tamduri,Olubani-South,Uzojina South,Uzojina State,Public,8.293469,8.532028
HF01326,Agbsaja Primary Health Centre,Primary Health Centre,Yelshama,Gwodewo,Agbkeko South,Agbkeko State,Public,10.55459,9.870037
HF00031,Kadmasa Health Post,Health Post,Baukeshi,Riylude-North,Kukrima North,Kukrima State,Public,6.253184,9.830211
HF00197,Gwongoba Cottage Hospital,Cottage Hospital,Zamkono,Umumitu,Kukrima South,Kukrima State,Public,6.661819,10.88988
HF00685,Tivngoma Primary Health Centre,Primary Health Centre,Yobbana,Olujiwa,Tivbetu South,Tivbetu State,Public,8.276554,10.800409
HF01319,Wurduyi Cottage Hospital,Cottage Hospital,Ngetsiko,Zammiyi,Agbkeko South,Agbkeko State,Public,10.642577,10.033475
HF00568,Irosale Health Post,Health Post,Oluyoko,Ibajija-South,Tivbetu Central,Tivbetu State,Public,10.98254,7.147829
HF00585,Baumishi Primary Health Centre,Primary Health Centre,Tivzana,Irongori,Tivbetu Central,Tivbetu State,Public,7.789818,10.883615
HF00443,Riyzashi Comprehensive Health Centre,Comprehensive Health Centre,Ekekowo,AGBNGORU,Agbzatu South,Agbzatu State,Private,7.65573,8.430011
HF01237,Okesadu Health Post,Health Post,Gwobeno,HANJILE,Agbkeko Central,Agbkeko State,Public,9.658971,9.607714
HF00754,Ekeritu Primary Health Centre,Primary Health Centre,Banwama,NASYOTU,Uzojina North,Uzojina State,Public,9.198542,8.028332
HF01282,Ibatsidu Primary Health Centre,Primary Health Centre,Adetsita,Nasnadu,Agbkeko South,Agbkeko State,Public,10.078286,10.270813
HF00951,Suplano Health Post,Health Post,Birtsiba,Nasrifa,Supwasa North,Supwasa State,Public,8.957197,10.87669
HF01299,Irongori Primary Health Centre,Primary Health Centre,Gwotsimi,Enumija ,Agbkeko South,Agbkeko State,Public,10.826209,10.227893
HF00133,Nasketa Comprehensive Health Centre,Comprehensive Health Centre,Adetidu,Gwolama,Kukrima Central,Kukrima State,Public,6.729949,9.695893
HF00786,Uzozata Primary Health Centre,Primary Health Centre,Ngemiyi,Nassako-Central,Uzojina North,Uzojina State,Public,8.540909,7.439272
HF01216,Ngetsishi Comprehensive Health Centre,Comprehensive Health Centre,Birriwa,Yobrifa West,Agbkeko Central,Agbkeko State,Public,8.967089,9.602304
HF00063,Soknano Primary Health Centre,Primary Health Centre,Aderita,Shajima,Kukrima North,Kukrima State,Public,5.836909,9.041206
HF00941,Ibajishi Health Post,Health Post,Wurshani,Adekeni,Supwasa North,Supwasa State,Public,9.464985,10.629006
HF00463,Supbesa Health Post,Health Post,Nasnayi,Umumayi,Agbzatu South,Agbzatu State,Faith-based,8.003522,9.339455
HF00375,Agbdutu Primary Health Centre,Primary Health Centre,Uzotishi,Lokmata,Agbzatu Central,Agbzatu State,Public,6.766095,8.727617
HF00103,Umunuba Primary Health Centre,Primary Health Centre,Naslama,Yelkefa,Kukrima Central,Kukrima State,Public,"7,444181","9,87923"
HF00359,Gwotsina Health Post,Health Post,Funzako,Irosaja,Agbzatu Central,Agbzatu State,Public,6.657077,8.081276
HF00131,Wurdewo Health Post,Health Post,Agbtifa,Tambemi,Kukrima Central,Kukrima State,Public,7.032331,9.876326
HF00476,Okelata Health Post,Health Post,Enuyona,Ngetija,Agbzatu South,Agbzatu State,Public,7.753388,8.960476
